dieđan	dieđa+N+Ess
potrehttehan	potrehttet+V+TV+Der/h+V+Ind+Prs+Sg1
potrehttehan	potrehttet+V+TV+Der/h+V+Der/eapmi+N+Sg+Gen
potrehttehan	potrehttet+V+TV+Der/h+V+Actio+Acc
potrehttehan	potrehttet+V+TV+Der/h+V+Actio+Gen
potrehttehan	potrehttet+V+TV+Der/h+V+Actio+Nom
searvvastalan	searvat+V+IV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
soađastattan	soahtat+V+IV+Der/st+V+Der/adda+V+Ind+Prs+Sg1
soađastattan	soađastaddat+V+IV+Ind+Prs+Sg1
soađastalan	soahtat+V+IV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
soađastalan	soađastallat+V+IV+Ind+Prs+Sg1
sagastattan	sahkat+V+IV+Der/st+V+Der/adda+V+Ind+Prs+Sg1
sagastalan	sahkat+V+IV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
sahkkehattan	sahkkehit+V+TV+Der/adda+V+Ind+Prs+Sg1
sahkkehalan	sahkkehit+V+TV+Der/alla+V+Ind+Prs+Sg1
vuojahattan	vuodjat+V+IV+Der/h+V+Der/adda+V+Ind+Prs+Sg1
vuojahattan	vuojahit+V+TV+Der/adda+V+Ind+Prs+Sg1
vuojahattan	vuojahaddat+V+TV+Ind+Prs+Sg1
vuojahalan	vuodjat+V+IV+Der/h+V+Der/alla+V+Ind+Prs+Sg1
vuojahalan	vuojahit+V+TV+Der/alla+V+Ind+Prs+Sg1
vuojahalan	vuojahallat+V+TV+Ind+Prs+Sg1
alostalan	allut+V+IV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
arvalattan	arvat+V+IV+Der/l+V+Der/adda+V+Ind+Prs+Sg1
čoavdalattan	čoavdaladdat+V+TV+Ind+Prs+Sg1
čoavdalattan	čoavdalit+V+TV+Der/adda+V+Ind+Prs+Sg1
čuolddahattan	čuolddahit+V+TV+Der/adda+V+Ind+Prs+Sg1
čuolddahalan	čuolddahit+V+TV+Der/alla+V+Ind+Prs+Sg1
čallalattan	čallat+V+TV+Der/l+V+Der/adda+V+Ind+Prs+Sg1
čallalattan	čallaladdat+V+TV+Ind+Prs+Sg1
čallalattan	čallalit+V+TV+Der/adda+V+Ind+Prs+Sg1
čalahattan	čallat+V+TV+Der/h+V+Der/adda+V+Ind+Prs+Sg1
čalahattan	čalahit+V+TV+Der/adda+V+Ind+Prs+Sg1
čalahalan	čallat+V+TV+Der/halla+V+Ind+Prs+Sg1
čalahalan	čallat+V+TV+Der/h+V+Der/alla+V+Ind+Prs+Sg1
čalahalan	čalahit+V+TV+Der/alla+V+Ind+Prs+Sg1
čalastattan	čallat+V+TV+Der/st+V+Der/adda+V+Ind+Prs+Sg1
čalastattan	čalastit+V+TV+Der/adda+V+Ind+Prs+Sg1
čalastattan	čalastaddat+V+TV+Ind+Prs+Sg1
čalastalan	čallat+V+TV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
čalastalan	čalastit+V+TV+Der/alla+V+Ind+Prs+Sg1
čalastalan	čalastallat+V+TV+Ind+Prs+Sg1
basan	bassat+V+TV+Ind+Prs+Sg1
vuojan	vuodjat+V+IV+Ind+Prs+Sg1
bogan	bohkat+V+TV+Ind+Prs+Sg1
caban	cahpat+V+TV+Ind+Prs+Sg1
daman	dapmat+V+IV+Ind+Prs+Sg1
falan	falan+Sem/Hum+N+Sg+Nom
faskkan	faskkan+N+Sg+Nom
gajan	gadjat+V+IV+Ind+Prs+Sg1
galggan	galgat+V+IV+Ind+Prs+Sg1
garan	garrat+V+IV+Ind+Prs+Sg1
lanjan	latnjat+V+TV+Ind+Prs+Sg1
njaman	njammat+V+TV+Ind+Prs+Sg1
njaman	njaman+N+Sg+Nom
nalan	nallat+V+TV+Ind+Prs+Sg1
rahčan	rahča+N+Ess
rahčan	rahča+N+Sg+Nom+PxSg1
rahčan	rahča+N+Sg+Gen+PxSg1
rahčan	rahča+N+Sg+Acc+PxSg1
rahčan	rahčat+V+IV+PrfPrc
rahčan	rahčat+V+IV+Actio+Nom
rahčan	rahčat+V+IV+Actio+Gen
rahčan	rahčat+V+IV+Actio+Acc
rahčan	rahčat+V+IV+Der/n+N+Sg+Nom
rahčan	rahčat+V+IV+Der/n+N+Sg+Gen
rasan	rassat+V+IV+Ind+Prs+Sg1
ravddan	ravdat+V+IV+Ind+Prs+Sg1
sagan	sahkat+V+IV+Ind+Prs+Sg1
sagan	saga+N+Ess
sagan	saga+N+Sg+Nom+PxSg1
sagan	saga+N+Sg+Gen+PxSg1
sagan	saga+N+Sg+Acc+PxSg1
sažan	sahčat+V+TV+Ind+Prs+Sg1
vanan	vatnat+V+IV+Ind+Prs+Sg1
ađan	ađa+N+Ess
