bissovaš	663.0000
huksen	662.8333
priváhta	662.5000
cealkámuš	659.5000
ipmirdit	658.5000
cuoŋománnu	656.0000
oahppan	656.0000
čilgehus	655.0000
šat	655.0000
julevsámegiella	654.0000
njálmmálaš	654.0000
14	652.0000
riekta	652.0000
dan_	651.0000
movttiidahttit	649.6667
dárkil	647.5000
ráhkadeapmi	647.5000
badjelii	647.0000
šiehtadallan	646.8333
čálalaš	646.0000
geahččaleapmi	645.6667
oktii	643.5000
gullevaš	643.0000
lullisápmi	641.0000
vuhtiiváldit	639.5000
suodjaleapmi	636.1667
geaidnu	635.5000
fylkkasuohkan	635.0000
gulahallat	634.5000
báikenamma	632.5000
ságastallat	631.8333
boazoeaiggát	629.0000
ovdanbuktit	629.0000
unnimusat	629.0000
nisu	628.1667
meroštallat	626.0000
gonagas	624.0000
leavga	623.0000
eksámen	620.5000
giellanjuolggadus	620.0000
organiseret	618.5000
vahát	616.0000
báikegoddi	615.5000
vuovdit	615.1667
Oslo	613.0000
vuovdi	612.5000
áŋgiruššan	611.0000
oppalaččat	610.0000
hápmi	609.5000
čoavdit	609.0000
rievdat	608.5000
girji	608.3333
vihtta	608.0000
stipeanda	608.0000
suodjalit	607.1667
namalassii	606.0000
boahttevaš	606.0000
historjjálaš	605.0000
árbediehtu	605.0000
guolásteapmi	605.0000
ovttasbargat	604.0000
sosiálabálvalus	604.0000
ovddastit	603.5000
vuolde	603.0000
Stuoradiggi	600.0000
meannudeapmi	598.5000
siskkáldas	597.0000
21	597.0000
ođasmahttin	596.6667
18	596.0000
musihkka	593.5000
danne_go	593.0000
eanetlohku	593.0000
searvadahttindepartemeanta	592.0000
hárjehallan	591.5833
gilli	591.5000
fágalávdegoddi	590.0000
vástidit	590.0000
Sámi_parlamentáralaš_ráđđi	590.0000
kapihttal	589.0000
guvllolaš	589.0000
sajádat	587.0000
gulaskuddan	586.5000
sakka	586.0000
fierpmádat	585.0000
dokumeanta	585.0000
!	583.0000
27	583.0000
ávžžuhit	582.6667
kárta	581.5000
vuollásaš	581.0000
jienastit	579.5000
media	579.0000
áddet	578.0000
girku	575.0000
girkodepartemeanta	574.0000
Birasgáhttendepartemeanta	574.0000
dieđ	573.0000
ovdalgo	572.0000
goalmmát	571.0000
dološ	570.0000
earenoamážit	569.5000
22	569.0000
dálvet	567.0000
ođđajagimánnu	566.0000
soahpamuš	566.0000
gaskkustit	565.0000
ágga	561.0000
169	561.0000
áigemearri	560.0000
miljovdna	560.0000
stáhtabušeahtta	560.0000
máhtolašvuohta	558.6667
jeaggi	558.0000
mearri	557.5000
áddejupmi	557.0000
alit_oahppu	557.0000
norgalaš	556.5000
ollásit	556.0000
garrasit	554.5000
17	554.0000
birrasiid	554.0000
almmá	554.0000
ruvdnu	552.5000
soaitit	552.0000
ILO-konvenšuvdna	551.0000
doaibmadoarjja	550.5000
oassálastin	549.0000
heivet	548.0833
suoidnemánnu	548.0000
heiveheapmi	547.0833
bustávva	547.0000
organiseren	546.5000
massit	545.0000
Sámeláhka	542.5000
sisttisdoallat	542.0000
II	542.0000
stáhtaráđđi	542.0000
jietna	541.0000
Máhttodepartemeanta	541.0000
diggi	540.0000
'	540.0000
konkrehta	539.0000
dáidit	538.0000
16	537.0000
geardi	536.5000
vealaheapmi	535.3333
giđđa	535.2500
julevsápmi	532.5000
