Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
gávccinjealjátlohkái+Num+Sg+Attr	oktačuohtigákcinnjealjátlot	ˈokː.htɑ#tʃˌuoh.ti#kˌɑːkː.htsin#ɲˌeæʎ.ʎɑːh#loh
gávccičihččetlogis+N+Coll+Sg+Nom+PxPl2	oktačuohtigávccičihččetlohkáseattet	ˈokː.htɑ#tʃˌuoh.ti#kˌɑːβɸ.tsi#tʃˌihː.tʃeh#lˌohː.kɑː.sˌĕæt.teh
gávcciovccátlohkái+Num+Pl+Acc	oktačuohtigávcciidovccátlogiid	ˈokː.htɑ#tʃˌuoh.ti#kˌɑːβɸ.tsijh#ˌoβɸ.tsɑːh#lˌo.gijh
njealljegávccátlohkái+Num+Sg+Attr	oktačuohtinjeljiingávccátlot	ˈokː.htɑ#tʃˌuoh.ti#ɲˌeʎ.ʎijn#kˌɑːβɸ.tsɑːh#loh
njealljeloginjeallje+Num+Pl+Loc	oktačuohtinjeljiinlogiinnjeljiin	ˈokː.htɑ#tʃˌuoh.ti#ɲˌeʎ.ʎijn#lˌo.gijn#ɲˌeʎ.ʎijn
njealljenjealjátlohkái+Num+Sg+Attr	oktačuohtinjeljiinnjealjátlot	ˈokː.htɑ#tʃˌuoh.ti#ɲˌeʎ.ʎijn#ɲˌeæʎ.ʎɑːh#loh
njealljenuppelohkái+Num+Pl+Com+Attr	oktačuohtinjeljiidnuppelogiid	ˈokː.htɑ#tʃˌuoh.ti#ɲˌeʎ.ʎijh#nˌup.pe#lˌo.gijh
njealljeviđátlohkái+Num+Sg+Ill	oktačuohtinjealjeviđatlohkái	ˈokː.htɑ#tʃˌuoh.ti#ɲˌĕæʎ.ʎe#vˌi.ðɑh#lˌohː.kɑːj
njealljaloginubbi+A+Ord+Sg+Loc+Attr	oktačuohtinjealljaloginuppi	ˈokː.htɑ#tʃˌuoh.ti#ɲˌĕæʎː.ʎɑ#lˌo.gi#nˌupː.pi
nubbegávccátlohkái+Num+Pl+Attr	oktačuohtinuppiingávccátlot	ˈokː.htɑ#tʃˌuoh.ti#nˌup.pijn#kˌɑːβɸ.tsɑːh#loh
oktagoalmmátlohkái+Num+Ess	oktačuohtioktagoalmmátlogin	ˈokː.htɑ#tʃˌuoh.ti#ˌokː.htɑ#kˌoɑlm.mɑːh#lˌo.gin
oktanuppelohkái+Num+Sg+Acc	oktačuohtioktanuppelohkái	ˈokː.htɑ#tʃˌuoh.ti#ˌokː.htɑ#nˌup.pe#lˌohː.kɑːj
oktaovccátlohkái+Num+Ess	oktačuohtioktaovccátlohkin	ˈokː.htɑ#tʃˌuoh.ti#ˌokː.htɑ#ˌoβɸ.tsɑːh#lˌohː.kin
oktalogátlohkái+Num+Pl+Gen	oktačuohtiovttaidlogátlogiid	ˈokː.htɑ#tʃˌuoh.ti#ˌoβɸ.tɑjh#lˌo.gɑːh#lˌo.gijh
oktačihččetlohkái+Num+Sg+Attrbealis+N+Sg+Nom+PxPl2	oktačuohtiovttačihččetlotbealládet	ˈokː.htɑ#tʃˌuoh.ti#ˌoβɸ.tɑ#tʃˌihː.tʃeh#loh»bˌeæl.lɑː.deh
ovccinjealjátlohkái+Num+Sg+Attr	oktačuohtiokcinnjealjátlot	ˈokː.htɑ#tʃˌuoh.ti#ˌokː.htsin#ɲˌeæʎ.ʎɑːh#loh
ovccilogičieža+Num+Sg+Com	oktačuohtiovcciinlogiinčiežain	ˈokː.htɑ#tʃˌuoh.ti#ˌoβɸ.tsijn#lˌo.gijn#tʃˌie.dʃɑjn
ovcciovccátlohkái+Num+Pl+Attr	oktačuohtiovccitovccátlot	ˈokː.htɑ#tʃˌuoh.ti#ˌoβɸ.tsih#ˌoβɸ.tsɑːh#loh
ovcciviđátlohkái+Num+Sg+Com	oktačuohtiovcciinviđatlogiin	ˈokː.htɑ#tʃˌuoh.ti#ˌoβɸ.tsijn#vˌi.ðɑh#lˌo.gijn
vihttanuppelohkái+Num+Ess	oktačuohtivihttanuppelohkin	ˈokː.htɑ#tʃˌuoh.ti#vˌihː.tɑ#nˌup.pe#lˌohː.kin
vihttaovccátlohkái+Num+Sg+Acc	oktačuohtivihttaovccátlohkái	ˈokː.htɑ#tʃˌuoh.ti#vˌihː.tɑ#ˌoβɸ.tsɑːh#lˌohː.kɑːj
vihttaguđatlogis+N+Coll+Sg+Gen	oktačuohtivihttaguđatlohkása	ˈokː.htɑ#tʃˌuoh.ti#vˌihː.tɑ#kˌu.ðɑh#lˌohː.kɑː.sɑ
čiežagoalmmátlohkái+Num+Sg+Gen	oktačuohtičiežagoalmmátlogi	ˈokː.htɑ#tʃˌuoh.ti#tʃˌie.dʃɑ#kˌoɑlm.mɑːh#lˌo.gi
čiežagávccátlohkái+Num+Pl+Nom	oktačuohtičiežatgávccátlogit	ˈokː.htɑ#tʃˌuoh.ti#tʃˌie.dʃɑh#kˌɑːβɸ.tsɑːh#lˌo.gih
čiežačihččetlohkái+Num+Sg+Acc	oktačuohtičiežačihččetlohkái	ˈokː.htɑ#tʃˌuoh.ti#tʃˌie.dʃɑ#tʃˌihː.tʃeh#lˌohː.kɑːj
čiežagoalmmátlogis+N+Coll+Pl+Nom	oktačuohtičiežagoalmmátlohkásat	ˈokː.htɑ#tʃˌuoh.ti#tʃˌie.dʃɑ#kˌoɑlm.mɑːh#lˌohː.kɑː.sɑh
čiežalogigihččet+A+Ord+Sg+Acc	oktačuohtičiežalogigihččeda	ˈokː.htɑ#tʃˌuoh.ti#tʃˌie.dʃɑ#lˌo.gi#kˌihː.tʃe.dɑ
čiežalogiguhttanuppelogát+A+Ord+Ess	oktačuohtičiežalogiguhttanuppelogádin	ˈokː.htɑ#tʃˌuoh.ti#tʃˌie.dʃɑ#lˌo.gi#kˌuhː.tɑ#nˌup.pe#lˌo.gɑː.din
AIDS+N+Sg+Nom	AIDS	ˈɑjds
