Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
akšuvdna+N+Pl+Com+PxSg2	akšuvnnaidatguin	ˈɑkː.ʃuvn.nˌɑjː.tɑt.gujn
akšuvdna+N+Pl+Nom	akšuvnnat	ˈɑkː.ʃuvn.nɑh
akšuvdna+N+Sg+Acc	akšuvnna	ˈɑkː.ʃuvn.nɑ
akšuvdna+N+Sg+Com+PxPl2	akšuvnnaineattet	ˈɑkː.ʃuvn.nˌɑj.nĕæt.teh
akšuvdna+N+Sg+Loc+PxSg2	akšuvnnastat	ˈɑkː.ʃuvn.nˌɑsː.tɑh
adni+A+Sg+Ill	adnái	ˈɑd.nɑːj
addu+N+Der/huhtti+V+TV+Imprt+Du1	attohuhttu	ˈɑt.to»hˌuhː.tu
afghánalaš+A+Ess	afghánalažžan	ˈɑfg.hɑː.nˌɑ.lɑdː.tʃɑn
aforisma+N+Sg+Ill	aforismii	ˈɑ.fo.rˌisː.mij
agoarta+N+Sg+Ill+PxPl2	agoartaseattet	ˈɑ.goɑr.htˌɑ.sĕæt.teh
ahki+N+Sg+Loc+PxSg2	agistat	ˈɑ.gis.tɑh
ahppar+A+Attr+Der/vuohta+N+Sg+Ill	ahpparvuhtii	ˈɑhː.pɑːr»vˌuh.tij
airbag+N+Sg+Nom	airbag	ˈɑjr#pɑg
aji+N+Der/viđá+Adv	ajiviđá	ˈɑ.ji»vˌi.ðɑː
ajerássi+N+Sg+Acc+PxSg2	ajerását	ˈɑ.je#rˌɑː.sɑːh
akrediteret+V+TV+Ind+Prt+Du3	akrediteriiga	ˈɑ.kre.dˌi.te.rˌij.gɑ
akklimatiseret+V+TV+Der/PassL+V+IV+Actio+Ess	akklimatiserejuvvomin	ˈɑk.kli.mˌɑ.ti.sˌe.re»jˌuv.vo.min
alas+N+Sg+Nom	alas	ˈɑ.lɑːs
amas+A+Der/vuohta+N+Sg+Acc+PxPl1	amasvuohtamet	ˈɑ.mɑːs»vˌuoh.tɑ.meh
amanueansa+N+Sg+Ill	amanuensii	ˈɑ.mɑː.nˌu.en.sij
amerihkálaš+N+Sg+Nom	amerihkálaš	ˈɑ.me.rˌihː.kɑː.lɑʃ
angloamerihkálaš+N+Sg+Acc+PxSg2	angloamerihkálaččat	ˈɑng.lo#ˌɑ.me.rˌihː.kɑː.lˌɑt.tʃɑh
aortauvssot+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	aortauvssothisvuhtii	ˈɑorə.htɑ#ˌuβs.soh»his»vˌuh.tij
aprikosa+N+Ess+PxPl2	aprikosaneattet	ˈɑ.pri.kˌo.sɑ.nˌĕæt.teh
aprikosa+N+Ess+PxSg2	aprikosanat	ˈɑ.pri.kˌo.sɑ.nɑh
aprikosa+N+Sg+Com+PxSg1	aprikosainan	ˈɑ.pri.kˌo.sɑj.nɑn
aprikosa+N+Sg+Ill	aprikosii	ˈɑ.pri.kˌo.sij
apokope+N+Pl+Nom	apokopet	ˈɑ.po.kˌo.peh
arriveret+V+IV+Ind+Prt+Du1	arriveriime	ˈɑr.ri.vˌe.rij.me
assut+V+IV+Ger	asudin	ˈɑ.su.ðin
astringeret+V+TV+Inf	astringeret	ˈɑ.strin.gˌe.reh
asihaš+A+Attr+Der/vuohta+N+Sg+Ill	asihisvuhtii	ˈɑ.si.his»vˌuh.tij
asu+Adv	asu	ˈɑ.suː
atnit+V+TV+Der/PassS+V+IV+Der/NomAg+N+Pl+Loc+PxSg3	adnojeddjiinis	ˈɑd.no»j»ˌeɟː.ci»ˌi.nis
atnit+V+TV+Der/PassS+V+IV+Ind+Prt+Du1	adnuime	ˈɑd.nu»ˌi.me
atnit+V+TV+Imprt+Pl1	adnut	ˈɑd.nuːh
atnit+V+TV+Der/NomAg+N+Sg+Nom+PxDu1	adnáme	ˈɑd.nɑː»me
ateneum+N+Sg+Acc+PxSg3	ateneumis	ˈɑ.te.nˌe.u.mis
autárka+N+Pl+Nom	autárkkat	ˈɑut.ɑːrhk.kɑh
avvit+V+TV+VGen	avi	ˈɑ.viː
azistit+V+IV+VAbess+A+Attr	aziskeahtes	ˈɑ.dsis#khˌĕæh.tes
azuheapme+A+Comp+Attr	azuhut	ˈɑ.dsu.huh
ađaiduvvat+V+IV+Der/ahtti+V+TV+Pot+Prs+Pl1	ađaiduhtežat	ˈɑ.ðɑːjh»ˌuh.te.dʃɑh
ađaruitu+N+Sg+Ill	ađaruitui	ˈɑ.ðɑː#rˌujː.çtuj
aŋkke+Adv	aŋkke	ˈɑŋŋ̊.ke
akšuvdnabeaivi+N+Pl+Acc+PxDu3	ákšunbeivviideaskka	ˈɑːkː.ʃun#pˌejv.vij.dˌeæs.kɑ
akšuvdnabeaivi+N+Pl+Acc+PxPl2	ákšunbeivviideattet	ˈɑːkː.ʃun#pˌejv.vij.dˌĕæt.teh
akšuvdnabeaivi+N+Pl+Com+PxSg1	ákšunbeivviidanguin	ˈɑːkː.ʃun#pˌejv.vij.dˌɑŋŋ.kujn
akšuvdnabeaivi+N+Pl+Gen+PxSg1	ákšunbeivviidan	ˈɑːkː.ʃun#pˌejv.vij.dɑn
akšuvdnabeaivi+N+Pl+Ill+PxPl1	ákšunbeivviidasamet	ˈɑːkː.ʃun#pˌejv.vij.dˌɑ.sɑ.meh
akšuvdnabeaivi+N+Pl+Ill+PxPl3	ákšunbeivviidasaset	ˈɑːkː.ʃun#pˌejv.vij.dˌɑ.sɑ.seh
akšuvdnabeaivi+N+Pl+Loc+PxPl2	ákšunbeivviineattet	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæt.teh
akšuvdnabeaivi+N+Pl+Nom+PxPl1	ákšunbeivviideamet	ˈɑːkː.ʃun#pˌejv.vij.dˌĕæ.meh
akšuvdnabeaivi+N+Pl+Nom+PxPl2	ákšunbeivviideattet	ˈɑːkː.ʃun#pˌejv.vij.dˌĕæt.teh
akšuvdnabeaivi+N+Pl+Nom+PxSg1	ákšunbeivviidan	ˈɑːkː.ʃun#pˌejv.vij.dɑn
akšuvdnabeaivi+N+Sg+Com+PxDu1	ákšunbeivviineame	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.me
akšuvdnabeaivi+N+Sg+Com+PxDu2	ákšunbeivviineatte	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæt.te
akšuvdnabeaivi+N+Sg+Com+PxDu3	ákšunbeivviineaskka	ˈɑːkː.ʃun#pˌejv.vij.nˌeæs.kɑ
akšuvdnabeaivi+N+Sg+Com+PxPl1	ákšunbeivviineamet	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.meh
akšuvdnabeaivi+N+Sg+Com+PxPl3	ákšunbeivviineaset	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.seh
akšuvdnabeaivi+N+Sg+Com+PxSg1	ákšunbeivviinan	ˈɑːkː.ʃun#pˌejv.vij.nɑn
akšuvdnabeaivi+N+Sg+Com+PxSg2	ákšunbeivviinat	ˈɑːkː.ʃun#pˌejv.vij.nɑh
akšuvdnabeaivi+N+Sg+Com+PxSg3	ákšunbeivviinis	ˈɑːkː.ʃun#pˌejv.vij.nis
akšuvdnabeaivi+N+Der/viđá+Adv	ákšunbeaiveviđá	ˈɑːkː.ʃun#pˌĕæjː.ve»vˌi.ðɑː
akšuvdnabeaivi+N+Ess+PxSg2	ákšunbeaivinat	ˈɑːkː.ʃun#pˌĕæjː.vi.nɑh
akšuvdnabeaivi+N+Sg+Nom	ákšunbeaivi	ˈɑːkː.ʃun#pˌĕæjː.vi
akšuvdnabeaivi+N+Sg+Nom+PxSg1	ákšunbeaiván	ˈɑːkː.ʃun#pˌĕæjː.vɑːn
akšuvdnabeaivi+N+Sg+Ill	ákšunbeaivái	ˈɑːkː.ʃun#pˌĕæjː.vɑːj
akšuvdnabeaivi+N+Sg+Gen+Allegro	ákšunbeaivve	ˈɑːkː.ʃun#pˌĕæjv.ve
akšuvdnabeaivi+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	ákšunbeaivvehisvuhtii	ˈɑːkː.ʃun#pˌĕæjv.ve»his»vˌuh.tij
akšuvdnabeaivi+N+Der/huhtti+V+TV+Der/PassL+V+IV+Actio+Com	ákšunbeaivvehuhttojuvvomiin	ˈɑːkː.ʃun#pˌĕæjv.ve»hˌuhː.to.jˌuv.vo.mijn
akšuvdnabeaivi+N+Pl+Nom	ákšunbeaivvit	ˈɑːkː.ʃun#pˌeæjv.vih
akšuvdnabeaivi+N+Sg+Gen+PxSg3	ákšunbeaivvis	ˈɑːkː.ʃun#pˌeæjv.vis
akšuvdnabeaivi+N+Sg+Loc+PxDu2	ákšunbeaivvisteatte	ˈɑːkː.ʃun#pˌeæjv.vis.tˌĕæt.te
akšuvdnabeaivi+N+Der/heapmi+A+Sg+Nom	ákšunbeaivviheapme	ˈɑːkː.ʃun#pˌeæjv.vi»hˌĕæp.me
akšuvdnabeaivi+N+Der/Dimin+N+Sg+Gen+PxSg3	ákšunbeaivvážis	ˈɑːkː.ʃun#pˌeæjv.vɑː»dʃis
akšuvdnabeaivi+N+Der/laš+A+Comp+Attr	ákšunbeaivválut	ˈɑːkː.ʃun#pˌeæjv.vɑː»luh
akšuvdnabeaivi+N+Der/laš+A+Der/vuohta+N+Ess+PxSg1	ákšunbeaivválašvuohtanan	ˈɑːkː.ʃun#pˌeæjv.vɑː»lɑʃ»vˌuoh.tɑ.nɑn
boazolohkoraporta+N+Ess+PxDu1	+Use/Subboazolohkuraportaneame	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.nĕæ.me
boazolohkoraporta+N+Ess+PxDu3	+Use/Subboazolohkuraportaneaskka	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.neæs.kɑ
boazolohkoraporta+N+Ess+PxPl1	+Use/Subboazolohkuraportaneamet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.nĕæ.meh
boazolohkoraporta+N+Sg+Acc+PxPl1	+Use/Subboazolohkuraportamet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.meh
boazolohkoraporta+N+Sg+Acc+PxSg1	+Use/Subboazolohkuraportan	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htɑn
boazolohkoraporta+N+Sg+Gen+PxSg1	+Use/Subboazolohkuraportan	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htɑn
boazolohkoraporta+N+Sg+Ill+PxPl1	+Use/Subboazolohkuraportaseamet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.sĕæ.meh
boazolohkoraporta+N+Sg+Nom+PxPl2	+Use/Subboazolohkuraportadet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.deh
boazolohkoraporta+N+Sg+Nom	+Use/Subboazolohkuraporta	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htɑ
boazolohkoraporta+N+Der/viđá+Adv	+Use/Subboazolohkuraportaviđá	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htɑ»vˌi.ðɑː
boazolohkoraporta+N+Sg+Ill	+Use/Subboazolohkuraportii	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htij
boazolohkoraporta+N+Pl+Acc+PxSg1	+Use/Subboazolohkuraporttaidan	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑjː.tɑn
boazolohkoraporta+N+Pl+Nom	+Use/Subboazolohkuraporttat	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑh
boazolohkoraporta+N+Sg+Acc+PxSg3	+Use/Subboazolohkuraporttas	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑs
boazolohkoraporta+N+Sg+Gen+PxPl2	+Use/Subboazolohkuraporttadet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑ.deh
boazolohkoraporta+N+Sg+Com+PxDu3	+Use/Subboazolohkuraporttaineaskka	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑj.neæs.kɑ
boazolohkoraporta+N+Sg+Com+PxPl1	+Use/Subboazolohkuraporttaineamet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑj.nĕæ.meh
boazolohkoraporta+N+Sg+Com	+Use/Subboazolohkuraporttain	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑjn
boazolohkoraporta+N+Sg+Loc	+Use/Subboazolohkuraporttas	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑs
boazolohkoraporta+N+Sg+Loc+PxPl2	+Use/Subboazolohkuraporttasteattet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑsː.tĕæt.teh
boazolohkoraporta+N+Der/Dimin+N+Sg+Nom	+Use/Subboazolohkuraporttaš	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑ»ʃ
boazolohkoraporta+N+Der/laš+A+Sg+Nom	+Use/Subboazolohkuraporttalaš	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑ»lɑʃ
bakkas+A+Sg+Gen	baggasa	pˈɑgː.kɑː.sɑ
bažihit+V+TV+Ind+Prs+ConNeg	bažit	pˈɑ.dʃiːh
belle+N+Der/Dimin+N+Der/Dimin+N+Sg+Com+PxSg1	beležaččainan	pˈe.le»dʃˌɑt.tʃɑj.nɑn
belko+N+Sg+Gen+PxPl1	belkomet	pˈelə.hko.meh
berosmeahttun+A+Comp+Sg+Nom	birosmeahttusut	pˈiː.ros.mˌĕæhː.tu.suh
berošmeahttun+A+AttrCmp+Der/kultuvrrat+A+Sg+Loc	birošmeahttunkultuvrragis	pˈiː.roʃ.mˌĕæhː.tun»kˌul.htuvr.rˌɑ.gis
berošmeahttun+A+Superl+Pl+Nom	birošmeahttusamosat	pˈiː.roʃ.mˌĕæhː.tu.sˌɑ.mo.sɑh
beroštahtti+A+Sg+Loc	biroštahttis	pˈiː.roʃ.tˌɑhː.tis
bidjat+V+TV+Imprt+Pl1	bidjot	pˈic.coh
billi+N+Sg+Acc	bili	pˈi.liː
bilppahit+V+IV+Sup	bilppaheažžat	pˈill̥ː.pɑː.hˌeædː.tʃɑh
biđihit+V+TV+Der/adda+V+Pot+Prs+Sg3	biđáhattaža	pˈiː.ðɑːh»ˌɑt.tɑ.dʃɑ
bleahkka+N+Sg+Loc	bleahkas	blˈeæh.kɑs
blyántabužan+N+Sg+Acc+PxDu2	blyántabužaneatte	blˈy.ɑːnː.n̥tɑ#pˌu.dʃɑ.nˌĕæt.te
blyántabužan+N+Sg+Acc+PxPl1	blyántabužaneamet	blˈy.ɑːnː.n̥tɑ#pˌu.dʃɑ.nˌĕæ.meh
bovttihit+V+TV+Pot+Prs+ConNeg	bovttiheš	pˈoβɸ.ti.heʃ
bođđi+N+Sg+Loc+PxDu2	bođisteatte	pˈoː.ðis.tˌĕæt.te
braille+N+Sg+Acc+PxDu3	braileska	brˈɑjː.les.kɑ
bramaista+N+Sg+Gen+PxDu3	bramaisttaska	brˈɑ.mɑː.ˌis.tɑs.kɑ
bridgespeallan+N+Der/viđá+Adv	bridgespeallanviđá	brˈid.ge#spˌeæl.lɑn»vˌi.ðɑː
brugga+N+Sg+Loc	brukkas	brˈukː.kɑːs
brutaliseret+V+TV+VAbess+A+Attr	brutaliserekeahtes	brˈu.tɑː.lˌi.se.rˌe.kĕæh.tes
bráhkka+N+Sg+Ill	bráhkkii	brˈɑhː.kij
byrokráhta+N+Sg+Ill	byrokráhtii	pˈy.ro.krˌɑːh.tij
byrå+N+Sg+Loc+PxPl2	byråsteattet	pˈy.roːs.tˌĕæt.teh
byrå+N+Der/viđá+Adv	byråviđá	pˈy.roː»vˌi.ðɑː
bábir+N+Der/laš+A+Sg+Nom	bábirlaš	pˈɑː.bir»lɑʃ
báddi+N+Pl+Com+PxSg1	báttiidanguin	pˈɑːt.tij.dˌɑŋŋ.kujn
bálká+N+Sg+Gen+PxPl3	bálkkáset	pˈɑːll̥.kɑː.seh
bámbu+N+Sg+Nom	bámbu	pˈɑːmː.puː
bása+N+Sg+Ill	básii	pˈɑː.sij
börsafitnodat+N+Sg+Ill+PxSg2	börsafitnodahkasat	pˈørə.sɑ#fˌit.no.dˌɑh.kɑ.sɑh
börsagávpi+N+Sg+Gen+Allegro	börsagávppe	pˈørə.sɑ#kˌɑːβɸ.pe
börsagávpi+N+Sg+Acc+PxSg2	börsagávppát	pˈørə.sɑ#kˌɑːβɸ.pɑːh
cabbi+N+Ess+PxSg3	cabbinis	tsˈɑbː.pi.nis
cahpat+V+TV+Imprt+Du3	cahposka	tsˈɑh.pos.kɑ
cakkus+N+Pl+Nom	caggosat	tsˈɑgː.ko.sɑh
ceakkuhit+V+TV+Der/adda+V+Imprt+Sg2	cekkohatta	tsˈek.koh»ˌɑt.tɑ
ceavvit+V+TV+VAbess+A+Attr	ceavekeahtes	tsˈĕæ.ve.kˌĕæh.tes
cecce+N+Sg+Loc	cecces	tsˈet.tses
cecce+N+Pl+Ill	cecciide	tsˈet.tsij.de
cehkodit+V+TV+Sup	cehkodeažžat	tsˈeh.ko.ðˌeædː.tʃɑh
cekkosmuvvat+V+IV+Der/ahtti+V+TV+VAbess	cekkosnuhtekeahttájin	tsˈek.kos»nˌuh.te.kˌĕæhː.tɑː.jin
celsiusgráda+N+Der/laš+A+Superl+Sg+Nom	celsiusgrádaleamos	tsˈelə.si.us#grˌɑː.dɑ»lˌĕæ.mos
changeret+V+TV+Ind+Prt+ConNeg	changeren	tshˈɑŋŋ.ke.ren
charmantiseret+V+TV+Ger+PxPl3	charmantiseredettiineaset	tshˈɑr.mɑːnː.n̥tˌi.se.rˌe.det.tij.nĕæ.seh
chevroteret+V+IV+Der/PassL+V+IV+Ind+Prt+Sg3	chevroterejuvvui	tshˈeβː.ro.tˌe.re»j»ˌuv.vuj
chilibihppor+N+Sg+Loc	chilibihpporis	tshˈi.li#pˌihː.po.ris
cieggat+V+IV+Imprt+Pl2	ciegget	tsˈĭegː.keh
cillat+V+IV+Imprt+ConNeg	cila	tsˈi.lɑː
cilahit+V+TV+Imprt+Sg2	cilat	tsˈi.lɑːh
cimirdit+V+TV+VAbess+A+Attr	cimirkeahtes	tsˈiː.mir#khˌĕæh.tes
ciseleret+V+TV+VAbess	ciselerekeahttájin	tsˈi.se.lˌe.re.kˌĕæhː.tɑː.jin
coaccástallat+V+IV+Ind+Prt+Sg2	coaccástallet	tsˈoɑt.tsɑːs.tˌɑl.leh
coola+A+Comp+Der/at+Adv	coolabut	tsˈo.o.lˌɑ.buh
covccohaddat+V+IV+Pot+Prs+Sg3	covccohattaš	tsˈoβɸ.tso.hˌɑt.tɑʃ
cowboy+N+Sg+Nom	cowboy	tsˈoβ.bo.y
crossa+N+Der/laš+A+Comp+Attr	crosalit	tsrˈo.sɑː»lih
crossgilvu+N+Der/Dimin+N+Sg+Nom	crossgilvvoš	tsrˈosː#kˌilv.vo»ʃ
cubadit+V+TV+VAbess+A+Attr	cubatkeahtes	tsˈu.bɑːh#khˌĕæh.tes
cubadit+V+TV+VGen	cubat	tsˈu.bɑːh
cubistit+V+TV+Pot+Prs+Pl3	cubistežžet	tsˈuː.bis.tˌedː.tʃeh
cugga+N+Sg+Gen+PxDu2	cukkade	tsˈukː.kɑː.ðe
cuoppu+N+Pl+Nom+PxSg1	cubbuidan	tsˈubː.puj.dɑn
cuohpi+N+Sg+Acc+PxSg3	cuobis	tsˈuo.biːs
cupčiekčan+N+Der/viđá+Adv	cupčiekčanviđá	tsˈup#tʃˌiekː.htʃɑn»vˌi.ðɑː
curpmas+A+Der/at+Adv	curbmasit	tsˈurə.pmɑ.sih
cyber+N+Der/viđá+Adv	cyberviđá	tsˈy.ber»vˌi.ðɑː
cybersuorgi+N+Sg+Ill	cybersuorgái	tsˈy.ber#sˌŭorə.kɑːj
cymrugiella+N+Sg+Ill	cymrugillii	tsˈym.ru#kˌil.lij
cys+Interj	cys	tsˈys
cábus+N+Der/viđá+Adv	cábusviđá	tsˈɑː.bus»vˌi.ðɑː
cábmit+V+TV+Ger+PxSg1	cápmidettiinan	tsˈɑːp.mi.ðˌet.tij.nɑn
cákcut+V+IV+Imprt+Pl2	cákcut	tsˈɑːkː.htsuːh
cápmit+V+TV+Pot+Prs+Sg3	cámeža	tsˈɑː.me.dʃɑ
cápmit+V+TV+ConNegII	cápmo	tsˈɑːp.mo
cæsarisma+N+Sg+Acc+PxSg1	cæsarisman	tsˈæ.sɑ.rˌisː.mɑn
cæsarisma+N+Der/viđá+Adv	cæsarismaviđá	tsˈæ.sɑ.rˌisː.mɑ»vˌi.ðɑː
cæsarisma+N+Sg+Ill	cæsarismii	tsˈæ.sɑ.rˌisː.mij
čiekŋun+N+Pl+Ill+PxDu2	čiekŋumiiddáseatte	tšiek.ŋu.mijtː.tɑː.sĕæt.te
čiekŋun+N+Der/viđá+Adv	čiekŋunviđá	tšĭĕkː.ŋun»vˌi.ðɑː
dadnet+V+TV+Ind+Prt+Sg3	dadnii	tˈɑd.nij
dahkat+V+TV+Pot+Prs+Sg3	dagaš	tˈɑ.gɑːʃ
darjjesámegiel+A+Attr	darjjesámegiel	tˈɑrj.je#sˌɑː.me#kiel
danhámat+A+Sg+Acc	donhámaga	tˈon#hˌɑː.mɑ.gɑ
danhámat+A+Attr	donhámat	tˈon#hˌɑː.mɑh
de+Adv	de	tˈe
debutánta+N+Sg+Nom+PxSg2	debutántat	tˈe.bu.tˌɑːnː.n̥tɑh
dennet+V+TV+Ind+Prt+Sg3	dennii	tˈen.nij
deđot+A+Superl+Der/at+Adv	diđogamosit	tˈi.ðo.gˌɑ.mo.sih
diminutiiva+N+Sg+Acc+PxPl1	deminutiivamet	tˈe.mi.nˌu.tij.vˌɑ.meh
diminutiiva+N+Sg+Ill	deminutiivii	tˈe.mi.nˌu.tij.vij
diminutiiva+N+Pl+Com	deminutiivvaiguin	tˈe.mi.nˌu.tijv.vˌɑj.gujn
diminutiiva+N+Sg+Loc+PxDu2	deminutiivvasteatte	tˈe.mi.nˌu.tijv.vˌɑs.tĕæt.te
diminutiiva+N+Der/huhtti+V+TV+Ind+Prs+Sg1	deminutiivvahuhtán	tˈe.mi.nˌu.tijv.vɑ»hˌuhː.tɑːn
dialektála+A+Sg+Ill	dialektálii	tˈi.ɑ.lˌekː.htɑː.lij
don+Pron+Pers+Du2+Acc	dudno	tˈud.no
don+Pron+Pers+Sg2+Ess	dunin	tˈu.niːn
don+Pron+Pers+Sg2+Ill	dutnje	tˈut.ɲe
doggi+N+Der/viđá+Adv	doggeviđá	tˈogː.ke»vˌi.ðɑː
dovdu+N+Der/viđá+Adv	dovdoviđá	tˈoβː.to»vˌi.ðɑː
dreassa+N+Sg+Ill	dressii	drˈes.sij
dresseret+V+TV+Imprt+Sg3	dresserejus	drˈes.se.rˌe.jus
drumbugoazan+N+Der/heapmi+A+Attr+Der/vuohta+N+Der/viđá+Adv	drumbugoazanhisvuohtaviđá	drˈumː.pu#kˌoɑ.dsɑn»his»vˌuoh.tɑ»vˌi.ðɑː
drámá+N+Der/viđá+Adv	drámaviđá	drˈɑː.mɑ»vˌi.ðɑː
duhkki+N+Der/heapmi+A+Comp+Attr	duhkehat	tˈuh.ke»hɑh
duhtatmeahttunvuohta+N+Pl+Loc+PxDu2	duhtatmeahttunvuođaineatte	tˈuhː.tɑːtː.mˌĕæhː.tun.vˌuo.ðɑj.nĕæt.te
dullja+N+Sg+Loc+PxPl2	duljasteattet	tˈuʎ.ʎɑːs.tˌĕæt.teh
dyna+N+Sg+Loc	dynas	tˈy.nɑs
dyna+N+Sg+Ill	dynii	tˈy.nij
dysleksiija+N+Ess+PxSg3	dysleksiijanis	tˈys.lekː.sˌij.jɑ.nis
dystrofiija+N+Pl+Nom	dystrofiijat	tˈyst.ro.fˌij.jɑh
dá+Adv	dá	tˈɑː
dámis+A+Comp+Der/Dimin+N+Pl+Nom	dápmáseppožat	tˈɑːp.mɑː.sˌep.po»dʃɑh
dát+Pron+Dem+Ess	dánin	tˈɑː.niːn
dáčča+N+Sg+Ill	dáččii	tˈɑːt.tʃij
dáŋket+V+TV+Ind+Prt+Pl1	dáŋkiimet	tˈɑːŋŋ.ŋ̊kij.meh
eana+N+Ess+PxDu2	eananeatte	ˈeæ.nɑ.nˌĕæt.te
eana+N+Ess+PxPl1	eananeamet	ˈeæ.nɑ.nˌĕæ.meh
eana+N+Ess+PxPl2	eananeattet	ˈeæ.nɑ.nˌĕæt.teh
eana+N+Ess	eanamin	ˈeæ.nɑ.min
eana+N+Der/heapmi+A+Ess	eanamheapmin	ˈeæ.nɑm»hˌeæp.min
eana+N+Der/geahtes+A+Attr	eanankeahtes	ˈeæ.nɑn»kˌĕæh.tes
eana+N+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	eananlašvuhtii	ˈeæ.nɑn»lɑʃ»vˌuh.tij
eana+N+Der/huvva+V+IV+Ind+Prt+Du3	eanahuvaiga	ˈeæ.nɑ»hˌu.vɑj.gɑ
eana+N+Der/viđá+Adv	eanaviđá	ˈeæ.nɑ»vˌi.ðɑː
eana+N+Ess	eatnamin	ˈeæt.nɑ.min
eana+N+Pl+Nom	eatnamat	ˈeæt.nɑ.mɑh
eana+N+Sg+Acc+PxDu1	eatnameame	ˈeæt.nɑ.mˌĕæ.me
eana+N+Sg+Nom+PxDu1	eatnameame	ˈeæt.nɑ.mˌĕæ.me
eana+N+Sg+Gen	eatnama	ˈeæt.nɑ.mɑ
eana+N+Pl+Gen+PxPl3	eatnamiiddiset	ˈeæt.nɑ.mˌijt.ti.seh
eana+N+Der/Dimin+N+Der/Dimin+N+Sg+Nom+PxDu3	eatnamaččažeaskka	ˈeæt.nɑm»ˌɑt.tʃɑ»dʃˌeæs.kɑ
eana+N+Sg+Nom	eatnan	ˈeæt.nɑn
eana+N+Ess+PxSg2	eananat	ˈeæ.nɑ.nɑh
eana+N+Ess	eanamin	ˈeæ.nɑ.min
eana+N+Der/heapmi+A+Attr	eanamhis	ˈeæ.nɑm»his
eana+N+Sg+Nom	eanan	ˈeæ.nɑn
eana+N+Der/geahtes+A+Attr	eanankeahtes	ˈeæ.nɑn»kˌĕæh.tes
eana+N+Pl+Nom	eatnamat	ˈeæt.nɑ.mɑh
eana+N+Sg+Gen+PxSg1	eatnaman	ˈeæt.nɑ.mɑn
eana+N+Sg+Acc	eatnama	ˈeæt.nɑ.mɑ
eana+N+Der/Dimin+N+Sg+Ill	eatnamažžii	ˈeæt.nɑm»ˌɑdː.tʃij
eana+N+Sg+Nom	eatnan	ˈeæt.nɑn
eana+N+Der/viđá+Adv	eatnanviđá	ˈeæt.nɑn»vˌi.ðɑː
eallu+N+Der/Dimin+N+Ess	eložin	ˈe.lo»dʃin
eatnu+N+Sg+Acc+PxSg2	enot	ˈeː.noh
ebre+N+Sg+Ill	ebrii	ˈeb.rij
ecstasy+N+Sg+Com+PxSg3	ecstasyinis	ˈets.stɑ.sˌyj.nis
edet+N+Ess	edegin	ˈe.de.gin
edet+N+Der/Dimin+N+Sg+Nom	edegaš	ˈeː.deg»ɑʃ
ednoš+Adv	ednoš	ˈed.noʃ
efesoslaš+N+Der/Dimin+N+Sg+Ill+PxDu3	efesoslaččažasaska	ˈe.fe.sˌos.lɑt.tʃɑ»dʃˌɑ.sɑs.kɑ
efesoslaš+N+Sg+Nom	efesoslaš	ˈe.fe.sˌos.lɑʃ
