jiekŋastudio+N+Der/heapmi+A+Superl+Ess	jiekŋastudioheamosin	jˈiek.ŋɑ#stʉː.dio>»hˌĕɑ.mo.sin
jiekŋastudio+N+Der/heapmi+A+Sg+Loc	jiekŋastudioheamis	jˈiek.ŋɑ#stʉː.dio>»hˌeɑ.mis
jiekŋastudio+N+Der/heapmi+A+Sg+Com	jiekŋastudiohemiin	jˈiek.ŋɑ#stʉː.dio>»hˌe.mijn
jiekŋastudio+N+Der/heapmi+A+Attr	jiekŋastudiohis	jˈiek.ŋɑ#stʉː.dio>»his
jiekŋastudio+N+Der/huhtti+V+TV+Ind+Prs+ConNeg	jiekŋastudiohuhte	jˈiek.ŋɑ#stʉː.dio>»hˌu.te
jiekŋastudio+N+Der/huhtti+V+TV+VAbess	jiekŋastudiohuhtehaga	jˈiek.ŋɑ#stʉː.dio>»hˌu.te.hˌɑ.gɑ
jiekŋastudio+N+Der/huhtti+V+TV+Ind+Prt+Du3	jiekŋastudiohuhtiiga	jˈiek.ŋɑ#stʉː.dio>»hˌu.tij.gɑ
jiekŋastudio+N+Der/huhtti+V+TV+Ind+Prt+Sg3	jiekŋastudiohuhtii	jˈiek.ŋɑ#stʉː.dio>»hˌu.tij
jiekŋastudio+N+Der/huhtti+V+TV+VAbess	jiekŋastudiohuhtihaga	jˈiek.ŋɑ#stʉː.dio>»hˌu.ti.hˌɑ.gɑ
jiekŋastudio+N+Der/huhtti+V+TV+VAbess	jiekŋastudiohuhtikeahttá	jˈiek.ŋɑ#stʉː.dio>»hˌu.ti.kˌeɑt.tá
jiekŋastudio+N+Der/huhtti+V+TV+VAbess	jiekŋastudiohuhtikeahttájin	jˈiek.ŋɑ#stʉː.dio>»hˌu.ti.kˌeɑt.tá.jin
jiekŋastudio+N+Der/huhtti+V+TV+VGen	jiekŋastudiohuhti	jˈiek.ŋɑ#stʉː.dio>»hˌu.ti
jiekŋastudio+N+Der/huhtti+V+TV+Der/PassS+V+IV+Ind+Prt+Pl2	jiekŋastudiohuhttuidet	jˈiek.ŋɑ#stʉː.dio>»hˌut.tu»ˌi.det
jiekŋastudio+N+Der/huhtti+V+TV+Der/PassS+V+IV+Ind+Prt+Sg3	jiekŋastudiohuhttui	jˈiek.ŋɑ#stʉː.dio>»hˌut.tu»i
jiekŋastudio+N+Der/huhtti+V+TV+Cond+Prs+Sg1	jiekŋastudiohuhtášin	jˈiek.ŋɑ#stʉː.dio>»hˌu.tá.ʃin
jiekŋastudio+N+Der/huvva+V+IV+Ger+PxPl1	jiekŋastudiohuvadettiineamet	jˈiek.ŋɑ#stʉː.dio>»hˌu.vɑ.dˌet.tij.nˌĕɑ.met
jiekŋastudio+N+Der/huvva+V+IV+VAbess	jiekŋastudiohuvakeahttá	jˈiek.ŋɑ#stʉː.dio>»hˌu.vɑ.kˌeɑt.tá
jiekŋastudio+N+Der/huvva+V+IV+VGen	jiekŋastudiohuva	jˈiek.ŋɑ#stʉː.dio>»hˌu.vɑ
jiekŋastudio+N+Der/huvva+V+IV+Inf	jiekŋastudiohuvvat	jˈiek.ŋɑ#stʉː.dio>»hˌuv.vɑt
jiekŋastudio+N+Der/huvva+V+IV+Imprt+Du2	jiekŋastudiohuvvi	jˈiek.ŋɑ#stʉː.dio>»hˌuvː.vi
jiekŋastudio+N+Der/huvva+V+IV+ConNegII	jiekŋastudiohuvvo	jˈiek.ŋɑ#stʉː.dio>»hˌuv.vo
jiekŋastudio+N+Der/huvva+V+IV+Imprt+Pl3	jiekŋastudiohuvvoset	jˈiek.ŋɑ#stʉː.dio>»hˌuv.vo.set
jiekŋastudio+N+Der/huvva+V+IV+Imprt+Du1	jiekŋastudiohuvvu	jˈiek.ŋɑ#stʉː.dio>»hˌuvː.vu
jiekŋastudio+N+Der/huvva+V+IV+Imprt+Pl1	jiekŋastudiohuvvut	jˈiek.ŋɑ#stʉː.dio>»hˌuvː.vut
jiekŋastudio+N+Der/huvva+V+IV+Ind+Prs+Sg3	jiekŋastudiohuvvá	jˈiek.ŋɑ#stʉː.dio>»hˌuvː.vá
jietnastudio+N+Ess+PxDu1	jietnastudioneame	jˈiet.nɑ#stʉː.dio>.nĕɑ.me
jietnastudio+N+Ess+PxDu2	jietnastudioneatte	jˈiet.nɑ#stʉː.dio>.nĕɑt.te
jietnastudio+N+Ess+PxDu3	jietnastudioneaskka	jˈiet.nɑ#stʉː.dio>.neɑs.kɑ
jietnastudio+N+Ess+PxPl1	jietnastudioneamet	jˈiet.nɑ#stʉː.dio>.nĕɑ.met
jietnastudio+N+Ess+PxPl2	jietnastudioneattet	jˈiet.nɑ#stʉː.dio>.nĕɑt.tet
jietnastudio+N+Ess+PxPl3	jietnastudioneaset	jˈiet.nɑ#stʉː.dio>.nĕɑ.set
jietnastudio+N+Ess+PxSg1	jietnastudionan	jˈiet.nɑ#stʉː.dio>.nɑn
jietnastudio+N+Ess+PxSg2	jietnastudionat	jˈiet.nɑ#stʉː.dio>.nɑt
jietnastudio+N+Ess+PxSg3	jietnastudionis	jˈiet.nɑ#stʉː.dio>.nis
jietnastudio+N+Ess	jietnastudion	jˈiet.nɑ#stʉː.dio>n
jietnastudio+N+Pl+Acc+PxDu1	jietnastudioideame	jˈiet.nɑ#stʉː.dio>i.dĕɑ.me
jietnastudio+N+Pl+Acc+PxDu2	jietnastudioideatte	jˈiet.nɑ#stʉː.dio>i.dĕɑt.te
jietnastudio+N+Pl+Acc+PxDu3	jietnastudioideaskka	jˈiet.nɑ#stʉː.dio>i.deɑs.kɑ
jietnastudio+N+Pl+Acc+PxPl2	jietnastudioideattet	jˈiet.nɑ#stʉː.dio>i.dĕɑt.tet
jietnastudio+N+Pl+Acc+PxSg1	jietnastudioidan	jˈiet.nɑ#stʉː.dio>i.dɑn
jietnastudio+N+Pl+Acc+PxSg2	jietnastudioidat	jˈiet.nɑ#stʉː.dio>i.dɑt
jietnastudio+N+Pl+Acc+PxSg3	jietnastudioidis	jˈiet.nɑ#stʉː.dio>i.dis
jietnastudio+N+Pl+Com+PxPl2	jietnastudioideattetguin	jˈiet.nɑ#stʉː.dio>i.dĕɑt.tet.gujn
jietnastudio+N+Pl+Com+PxPl3	jietnastudioideasetguin	jˈiet.nɑ#stʉː.dio>i.dĕɑ.set.gujn
jietnastudio+N+Pl+Com+PxSg2	jietnastudioidatguin	jˈiet.nɑ#stʉː.dio>i.dɑt.gujn
jietnastudio+N+Pl+Com+PxSg3	jietnastudioidisguin	jˈiet.nɑ#stʉː.dio>i.dis.gujn
jietnastudio+N+Pl+Com	jietnastudioiguin	jˈiet.nɑ#stʉː.dio>i.gujn
jietnastudio+N+Pl+Gen+PxDu1	jietnastudioideame	jˈiet.nɑ#stʉː.dio>i.dĕɑ.me
jietnastudio+N+Pl+Gen+PxDu2	jietnastudioideatte	jˈiet.nɑ#stʉː.dio>i.dĕɑt.te
jietnastudio+N+Pl+Gen+PxPl1	jietnastudioideamet	jˈiet.nɑ#stʉː.dio>i.dĕɑ.met
jietnastudio+N+Pl+Gen+PxPl3	jietnastudioideaset	jˈiet.nɑ#stʉː.dio>i.dĕɑ.set
jietnastudio+N+Pl+Gen+PxSg1	jietnastudioidan	jˈiet.nɑ#stʉː.dio>i.dɑn
jietnastudio+N+Pl+Gen+PxSg2	jietnastudioidat	jˈiet.nɑ#stʉː.dio>i.dɑt
jietnastudio+N+Pl+Gen	jietnastudioid	jˈiet.nɑ#stʉː.dio>id
jietnastudio+N+Pl+Ill+PxPl2	jietnastudioidaseattet	jˈiet.nɑ#stʉː.dio>i.dɑ.sĕɑt.tet
jietnastudio+N+Pl+Ill+PxPl3	jietnastudioidaseaset	jˈiet.nɑ#stʉː.dio>i.dɑ.sĕɑ.set
jietnastudio+N+Pl+Ill	jietnastudioide	jˈiet.nɑ#stʉː.dio>i.de
jietnastudio+N+Pl+Loc+PxDu2	jietnastudioineatte	jˈiet.nɑ#stʉː.dio>i.nĕɑt.te
jietnastudio+N+Pl+Loc+PxPl1	jietnastudioineamet	jˈiet.nɑ#stʉː.dio>i.nĕɑ.met
jietnastudio+N+Pl+Loc+PxSg1	jietnastudioinan	jˈiet.nɑ#stʉː.dio>i.nɑn
jietnastudio+N+Pl+Loc+PxSg2	jietnastudioinat	jˈiet.nɑ#stʉː.dio>i.nɑt
jietnastudio+N+Pl+Loc+PxSg3	jietnastudioinis	jˈiet.nɑ#stʉː.dio>i.nis
jietnastudio+N+Pl+Nom+PxDu1	jietnastudioideame	jˈiet.nɑ#stʉː.dio>i.dĕɑ.me
jietnastudio+N+Pl+Nom+PxPl1	jietnastudioideamet	jˈiet.nɑ#stʉː.dio>i.dĕɑ.met
jietnastudio+N+Pl+Nom	jietnastudiot	jˈiet.nɑ#stʉː.dio>t
jietnastudio+N+Sg+Acc+PxDu1	jietnastudiome	jˈiet.nɑ#stʉː.dio>.me
jietnastudio+N+Sg+Acc+PxDu3	jietnastudioskka	jˈiet.nɑ#stʉː.dio>skːɑ
jietnastudio+N+Sg+Acc+PxPl1	jietnastudiomet	jˈiet.nɑ#stʉː.dio>.met
jietnastudio+N+Sg+Acc+PxPl2	jietnastudiottet	jˈiet.nɑ#stʉː.dio>tːet
jietnastudio+N+Sg+Acc+PxPl3	jietnastudioset	jˈiet.nɑ#stʉː.dio>.set
jietnastudio+N+Sg+Acc+PxSg1	jietnastudion	jˈiet.nɑ#stʉː.dio>n
jietnastudio+N+Sg+Acc+PxSg2	jietnastudiot	jˈiet.nɑ#stʉː.dio>t
jietnastudio+N+Sg+Acc+PxSg3	jietnastudios	jˈiet.nɑ#stʉː.dio>s
jietnastudio+N+Sg+Acc	jietnastudio	jˈiet.nɑ#stʉː.dio>
jietnastudio+N+Sg+Gen+PxDu1	jietnastudiome	jˈiet.nɑ#stʉː.dio>.me
jietnastudio+N+Sg+Gen+PxDu2	jietnastudiotte	jˈiet.nɑ#stʉː.dio>tːe
jietnastudio+N+Sg+Gen+PxDu3	jietnastudioskka	jˈiet.nɑ#stʉː.dio>skːɑ
jietnastudio+N+Sg+Gen+PxPl2	jietnastudiottet	jˈiet.nɑ#stʉː.dio>tːet
jietnastudio+N+Sg+Gen+PxSg1	jietnastudion	jˈiet.nɑ#stʉː.dio>n
jietnastudio+N+Sg+Gen+PxSg2	jietnastudiot	jˈiet.nɑ#stʉː.dio>t
jietnastudio+N+Sg+Gen+PxSg3	jietnastudios	jˈiet.nɑ#stʉː.dio>s
jietnastudio+N+Sg+Gen	jietnastudio	jˈiet.nɑ#stʉː.dio>
jietnastudio+N+Sg+Nom+PxDu2	jietnastudiotte	jˈiet.nɑ#stʉː.dio>tːe
jietnastudio+N+Sg+Nom+PxDu3	jietnastudioskka	jˈiet.nɑ#stʉː.dio>skːɑ
jietnastudio+N+Sg+Nom+PxPl1	jietnastudiomet	jˈiet.nɑ#stʉː.dio>.met
jietnastudio+N+Sg+Nom+PxPl2	jietnastudiottet	jˈiet.nɑ#stʉː.dio>tːet
jietnastudio+N+Sg+Nom+PxPl3	jietnastudioset	jˈiet.nɑ#stʉː.dio>.set
jietnastudio+N+Sg+Nom+PxSg1	jietnastudion	jˈiet.nɑ#stʉː.dio>n
jietnastudio+N+Sg+Nom+PxSg3	jietnastudios	jˈiet.nɑ#stʉː.dio>s
jietnastudio+N+Sg+Nom	jietnastudio	jˈiet.nɑ#stʉː.dio>
jietnastudio+N+Sg+Com+PxDu1	jietnastudioineame	jˈiet.nɑ#stʉː.dio>i.nĕɑ.me
jietnastudio+N+Sg+Com+PxDu2	jietnastudioineatte	jˈiet.nɑ#stʉː.dio>i.nĕɑt.te
jietnastudio+N+Sg+Com+PxDu3	jietnastudioineaskka	jˈiet.nɑ#stʉː.dio>i.neɑs.kɑ
jietnastudio+N+Sg+Com+PxPl1	jietnastudioineamet	jˈiet.nɑ#stʉː.dio>i.nĕɑ.met
jietnastudio+N+Sg+Com+PxPl2	jietnastudioineattet	jˈiet.nɑ#stʉː.dio>i.nĕɑt.tet
jietnastudio+N+Sg+Com+PxPl3	jietnastudioineaset	jˈiet.nɑ#stʉː.dio>i.nĕɑ.set
jietnastudio+N+Sg+Com+PxSg1	jietnastudioinan	jˈiet.nɑ#stʉː.dio>i.nɑn
jietnastudio+N+Sg+Com+PxSg2	jietnastudioinat	jˈiet.nɑ#stʉː.dio>i.nɑt
jietnastudio+N+Sg+Com+PxSg3	jietnastudioinis	jˈiet.nɑ#stʉː.dio>i.nis
jietnastudio+N+Sg+Com	jietnastudioin	jˈiet.nɑ#stʉː.dio>in
jietnastudio+N+Sg+Ill	jietnastudioi	jˈiet.nɑ#stʉː.dio>i
jietnastudio+N+Sg+Ill+PxDu1	jietnastudiosame	jˈiet.nɑ#stʉː.dio>.sɑ.me
jietnastudio+N+Sg+Ill+PxDu2	jietnastudiosatte	jˈiet.nɑ#stʉː.dio>.sɑt.te
jietnastudio+N+Sg+Ill+PxPl1	jietnastudiosamet	jˈiet.nɑ#stʉː.dio>.sɑ.met
jietnastudio+N+Sg+Ill+PxPl2	jietnastudiosattet	jˈiet.nɑ#stʉː.dio>.sɑt.tet
jietnastudio+N+Sg+Ill+PxPl3	jietnastudiosaset	jˈiet.nɑ#stʉː.dio>.sɑ.set
jietnastudio+N+Sg+Ill+PxSg1	jietnastudiosan	jˈiet.nɑ#stʉː.dio>.sɑn
jietnastudio+N+Sg+Loc	jietnastudios	jˈiet.nɑ#stʉː.dio>s
jietnastudio+N+Sg+Loc+PxDu1	jietnastudiosteame	jˈiet.nɑ#stʉː.dio>stĕɑ.me
jietnastudio+N+Sg+Loc+PxDu2	jietnastudiosteatte	jˈiet.nɑ#stʉː.dio>stĕɑt.te
jietnastudio+N+Sg+Loc+PxPl1	jietnastudiosteamet	jˈiet.nɑ#stʉː.dio>stĕɑ.met
jietnastudio+N+Sg+Loc+PxPl2	jietnastudiosteattet	jˈiet.nɑ#stʉː.dio>stĕɑt.tet
jietnastudio+N+Sg+Loc+PxPl3	jietnastudiosteaset	jˈiet.nɑ#stʉː.dio>stĕɑ.set
jietnastudio+N+Sg+Loc+PxSg1	jietnastudiostan	jˈiet.nɑ#stʉː.dio>stɑn
jietnastudio+N+Sg+Loc+PxSg2	jietnastudiostat	jˈiet.nɑ#stʉː.dio>stɑt
jietnastudio+N+Sg+Loc+PxSg3	jietnastudiostis	jˈiet.nɑ#stʉː.dio>stis
jietnastudio+N+Der/heapmi+A+Comp+Sg+Nom	jietnastudiohat	jˈiet.nɑ#stʉː.dio>»hɑt
jietnastudio+N+Der/heapmi+A+Comp+Sg+Nom	jietnastudioheabbo	jˈiet.nɑ#stʉː.dio>»hˌĕɑb.bo
jietnastudio+N+Der/heapmi+A+Comp+Sg+Nom	jietnastudiohet	jˈiet.nɑ#stʉː.dio>»het
jietnastudio+N+Der/heapmi+A+Comp+Attr	jietnastudiohit	jˈiet.nɑ#stʉː.dio>»hit
jietnastudio+N+Der/heapmi+A+Comp+Sg+Nom	jietnastudiohut	jˈiet.nɑ#stʉː.dio>»hut
jietnastudio+N+Der/heapmi+A+Superl+Attr	jietnastudioheamos	jˈiet.nɑ#stʉː.dio>»hˌĕɑ.mos
jietnastudio+N+Der/heapmi+A+Superl+Ess	jietnastudioheamosin	jˈiet.nɑ#stʉː.dio>»hˌĕɑ.mo.sin
jietnastudio+N+Der/heapmi+A+Ess	jietnastudioheapmin	jˈiet.nɑ#stʉː.dio>»hˌeɑp.min
jietnastudio+N+Der/heapmi+A+Sg+Gen	jietnastudioheame	jˈiet.nɑ#stʉː.dio>»hˌĕɑ.me
jietnastudio+N+Der/heapmi+A+Pl+Nom	jietnastudioheamit	jˈiet.nɑ#stʉː.dio>»hˌeɑ.mit
jietnastudio+N+Der/heapmi+A+Sg+Nom	jietnastudioheapme	jˈiet.nɑ#stʉː.dio>»hˌĕɑp.me
jietnastudio+N+Der/heapmi+A+Pl+Acc	jietnastudiohemiid	jˈiet.nɑ#stʉː.dio>»hˌe.mijh
jietnastudio+N+Der/heapmi+A+Pl+Ill	jietnastudiohemiide	jˈiet.nɑ#stʉː.dio>»hˌe.mij.de
jietnastudio+N+Der/heapmi+A+Sg+Com	jietnastudiohemiin	jˈiet.nɑ#stʉː.dio>»hˌe.mijn
jietnastudio+N+Der/heapmi+A+Attr	jietnastudiohis	jˈiet.nɑ#stʉː.dio>»his
jietnastudio+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	jietnastudiohisvuhtii	jˈiet.nɑ#stʉː.dio>»his»vˌu.tij
jietnastudio+N+Der/heapmi+A+Attr+Der/vuohta+N+Ess+PxSg2	jietnastudiohisvuohtanat	jˈiet.nɑ#stʉː.dio>»his»vˌuo.tɑ.nɑt
jietnastudio+N+Der/huhtti+V+TV+Ger+PxPl1	jietnastudiohuhtedettiineamet	jˈiet.nɑ#stʉː.dio>»hˌu.te.dˌet.tij.nˌĕɑ.met
jietnastudio+N+Der/huhtti+V+TV+Ger	jietnastudiohuhtediin	jˈiet.nɑ#stʉː.dio>»hˌu.te.dijn
jietnastudio+N+Der/huhtti+V+TV+Ger	jietnastudiohuhtidiin	jˈiet.nɑ#stʉː.dio>»hˌu.ti.dijn
jietnastudio+N+Der/huhtti+V+TV+Ger	jietnastudiohuhtidin	jˈiet.nɑ#stʉː.dio>»hˌu.ti.din
jietnastudio+N+Der/huhtti+V+TV+Ind+Prt+Du3	jietnastudiohuhtiiga	jˈiet.nɑ#stʉː.dio>»hˌu.tij.gɑ
jietnastudio+N+Der/huhtti+V+TV+Ind+Prt+Pl2	jietnastudiohuhtiidet	jˈiet.nɑ#stʉː.dio>»hˌu.tij.det
jietnastudio+N+Der/huhtti+V+TV+VAbess	jietnastudiohuhtihaga	jˈiet.nɑ#stʉː.dio>»hˌu.ti.hˌɑ.gɑ
jietnastudio+N+Der/huhtti+V+TV+VGen	jietnastudiohuhti	jˈiet.nɑ#stʉː.dio>»hˌu.ti
jietnastudio+N+Der/huhtti+V+TV+Imprt+Pl2	jietnastudiohuhttet	jˈiet.nɑ#stʉː.dio>»hˌut.tet
jietnastudio+N+Der/huhtti+V+TV+Ind+Prs+Pl3	jietnastudiohuhttet	jˈiet.nɑ#stʉː.dio>»hˌut.tet
jietnastudio+N+Der/huhtti+V+TV+Der/PassL+V+IV+Actio+Com	jietnastudiohuhttojuvvomiin	jˈiet.nɑ#stʉː.dio>»hˌut.to.jˌuv.vo.mijn
jietnastudio+N+Der/huhtti+V+TV+Der/PassL+V+IV+Der/supmi+N+Sg+Ill	jietnastudiohuhttosupmái	jˈiet.nɑ#stʉː.dio>»hˌut.to»sˌup.máj
jietnastudio+N+Der/huhtti+V+TV+Cond+Prs+Du1	jietnastudiohuhtáleimme	jˈiet.nɑ#stʉː.dio>»hˌu.tá.lˌejm.me
jietnastudio+N+Der/huhtti+V+TV+Cond+Prs+Du3	jietnastudiohuhtášeigga	jˈiet.nɑ#stʉː.dio>»hˌu.tá.ʃˌejg.gɑ
jietnastudio+N+Der/huhtti+V+TV+Cond+Prs+Pl3	jietnastudiohuhtáše	jˈiet.nɑ#stʉː.dio>»hˌu.tá.ʃe
jietnastudio+N+Der/huhtti+V+TV+Ind+Prs+Sg2	jietnastudiohuhtát	jˈiet.nɑ#stʉː.dio>»hˌu.tát
jietnastudio+N+Der/huhtti+V+TV+Sup	jietnastudiohuhtážit	jˈiet.nɑ#stʉː.dio>»hˌu.tá.žit
jietnastudio+N+Der/huvva+V+IV+Cond+Prs+Pl1	jietnastudiohuvaleimmet	jˈiet.nɑ#stʉː.dio>»hˌu.vɑ.lˌejm.met
jietnastudio+N+Der/huvva+V+IV+Cond+Prs+Du1	jietnastudiohuvašeimme	jˈiet.nɑ#stʉː.dio>»hˌu.vɑ.ʃˌejm.me
jietnastudio+N+Der/huvva+V+IV+Imprt+Sg2	jietnastudiohuva	jˈiet.nɑ#stʉː.dio>»hˌu.vɑ
jietnastudio+N+Der/huvva+V+IV+Pot+Prs+ConNeg	jietnastudiohuvaš	jˈiet.nɑ#stʉː.dio>»hˌu.vɑʃ
jietnastudio+N+Der/huvva+V+IV+Sup	jietnastudiohuvažit	jˈiet.nɑ#stʉː.dio>»hˌu.vɑ.žit
jietnastudio+N+Der/huvva+V+IV+VAbess	jietnastudiohuvahaga	jˈiet.nɑ#stʉː.dio>»hˌu.vɑ.hˌɑ.gɑ
jietnastudio+N+Der/huvva+V+IV+VGen	jietnastudiohuva	jˈiet.nɑ#stʉː.dio>»hˌu.vɑ
jietnastudio+N+Der/huvva+V+IV+Actio+Nom	jietnastudiohuvvan	jˈiet.nɑ#stʉː.dio>»hˌuv.vɑn
jietnastudio+N+Der/huvva+V+IV+PrfPrc	jietnastudiohuvvan	jˈiet.nɑ#stʉː.dio>»hˌuv.vɑn
jietnastudio+N+Der/huvva+V+IV+Der/NomAct+N+Der/viđá+Adv	jietnastudiohuvvanviđá	jˈiet.nɑ#stʉː.dio>»hˌuv.vɑ»n»vˌi.ðá
jietnastudio+N+Der/huvva+V+IV+Imprt+Du2	jietnastudiohuvvi	jˈiet.nɑ#stʉː.dio>»hˌuvː.vi
jietnastudio+N+Der/huvva+V+IV+Imprt+Pl2	jietnastudiohuvvit	jˈiet.nɑ#stʉː.dio>»hˌuvː.vit
jietnastudio+N+Der/huvva+V+IV+Imprt+Sg3	jietnastudiohuvvos	jˈiet.nɑ#stʉː.dio>»hˌuv.vos
jietnastudio+N+Der/huvva+V+IV+Imprt+Du1	jietnastudiohuvvu	jˈiet.nɑ#stʉː.dio>»hˌuvː.vu
jietnastudio+N+Der/huvva+V+IV+Imprt+Pl1	jietnastudiohuvvut	jˈiet.nɑ#stʉː.dio>»hˌuvː.vut
jietnastudio+N+Der/huvva+V+IV+Ind+Prs+Sg3	jietnastudiohuvvá	jˈiet.nɑ#stʉː.dio>»hˌuvː.vá
karaokelávlun+N+Sg+Acc+PxPl1	karaokelávlumeamet	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ĕɑ.met
karaokelávlun+N+Sg+Acc+PxSg2	karaokelávlumat	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑt
karaokelávlun+N+Sg+Gen+PxDu1	karaokelávlumeame	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ĕɑ.me
karaokelávlun+N+Sg+Gen+PxDu3	karaokelávlumeaskka	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>eɑs.kɑ
karaokelávlun+N+Sg+Gen+PxPl2	karaokelávlumeattet	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ĕɑt.tet
karaokelávlun+N+Sg+Gen+PxSg1	karaokelávluman	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑn
karaokelávlun+N+Sg+Gen+PxSg3	karaokelávlumis	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>is
karaokelávlun+N+Sg+Nom+PxDu2	karaokelávlumeatte	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ĕɑt.te
karaokelávlun+N+Sg+Nom+PxPl1	karaokelávlumeamet	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ĕɑ.met
karaokelávlun+N+Sg+Nom+PxSg2	karaokelávlumat	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑt
karaokelávlun+N+Pl+Nom	karaokelávlumat	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑt
karaokelávlun+N+Sg+Acc	karaokelávluma	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑ
karaokelávlun+N+Sg+Gen	karaokelávluma	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑ
karaokelávlun+N+Sg+Ill+PxPl2	karaokelávlumasadet	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑ.sɑ.ðet
karaokelávlun+N+Sg+Ill+PxPl3	karaokelávlumasaset	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑ.sɑ.set
karaokelávlun+N+Sg+Ill+PxSg2	karaokelávlumasat	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑ.sɑt
karaokelávlun+N+Sg+Ill+PxSg3	karaokelávlumasas	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ɑ.sɑs
karaokelávlun+N+Ess	karaokelávlumen	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>en
karaokelávlun+N+Ess	karaokelávlumin	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>in
karaokelávlun+N+Pl+Loc	karaokelávlumiin	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ijn
karaokelávlun+N+Pl+Nom+PxDu1	karaokelávlumiiddáme	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ijd.dá.me
karaokelávlun+N+Sg+Ill	karaokelávlumii	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>ij
karaokelávlun+N+Sg+Loc	karaokelávlumis	khˈɑː.rɑ.ˌo.ke#lˌávː.lu.m>is
karaokelávlun+N+Sg+Gen	karaokelávlun	khˈɑː.rɑ.ˌo.ke#lˌávː.lun>
karaokelávlun+N+Sg+Nom	karaokelávlun	khˈɑː.rɑ.ˌo.ke#lˌávː.lun>
karaokelávlun+N+Der/viđá+Adv	karaokelávlunviđá	khˈɑː.rɑ.ˌo.ke#lˌávː.lun»vˌi.ðá
karaokeshow+N+Sg+Nom	karaokeshow	khˈɑː.rɑ.ˌo.ke#shuːv>
karaokeshow+N+Ess+PxDu1	karaokeshowaneame	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>.nĕɑ.me
karaokeshow+N+Ess+PxPl1	karaokeshowaneamet	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>.nĕɑ.met
karaokeshow+N+Ess+PxSg1	karaokeshowanan	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>.nɑn
karaokeshow+N+Ess+PxSg2	karaokeshowanat	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>.nɑt
karaokeshow+N+Ess+PxSg3	karaokeshowanis	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>.nis
karaokeshow+N+Ess	karaokeshowan	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>n
karaokeshow+N+Pl+Acc+PxSg1	karaokeshowaidan	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.dɑn
karaokeshow+N+Pl+Com+PxPl1	karaokeshowaideametguin	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.dĕɑ.met.gujn
karaokeshow+N+Pl+Gen+PxPl3	karaokeshowaideaset	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.dĕɑ.set
karaokeshow+N+Pl+Ill	karaokeshowaide	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.de
karaokeshow+N+Pl+Loc+PxDu3	karaokeshowaineaskka	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.neɑs.kɑ
karaokeshow+N+Sg+Acc+PxDu3	karaokeshowaska	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>skɑ
karaokeshow+N+Sg+Com+PxDu2	karaokeshowaineatte	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.nĕɑt.te
karaokeshow+N+Sg+Com+PxSg1	karaokeshowainan	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.nɑn
karaokeshow+N+Sg+Com+PxSg2	karaokeshowainat	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>i.nɑt
karaokeshow+N+Sg+Gen	karaokeshowa	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>
karaokeshow+N+Sg+Loc+PxDu3	karaokeshowasteaskka	khˈɑː.rɑ.ˌo.ke#shˌuː.vɑ>steɑs.kɑ
