Ayrshire+N+Prop+Ess	Ayrshiren	ˈɑyr#shˌi.re>n
Leatherhead+N+Prop+Der/laš+A+Sg+Acc+PxPl2	Leatherheadalaččadet	lˈĕæt.her.heæ.d>ɑ.lɑt.tʃɑ.deh
Leatherhead+N+Prop+Der/laš+A+Sg+Com+PxSg1	Leatherheadalaččainan	lˈĕæt.her.heæ.d>ɑ.lɑt.tʃɑj.nɑn
Leatherhead+N+Prop+Der/laš+A+Sg+Com	Leatherheadalaččain	lˈĕæt.her.heæ.d>ɑ.lɑt.tʃɑjn
Leatherhead+N+Prop+Der/laš+A+Sg+Gen+PxDu2	Leatherheadalaččade	lˈĕæt.her.heæ.d>ɑ.lɑt.tʃɑ.de
Leatherhead+N+Prop+Der/laš+A+Sg+Gen+PxPl3	Leatherheadalaččaset	lˈĕæt.her.heæ.d>ɑ.lɑt.tʃɑ.seh
Leatherhead+N+Prop+Der/laš+A+Sg+Loc	Leatherheadalaččas	lˈĕæt.her.heæ.d>ɑ.lɑt.tʃɑs
Leatherhead+N+Prop+Der/laš+A+Attr	Leatherheadalaš	lˈĕæt.her.heæ.d>ɑ.lɑʃ
Leatherhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Leatherheadalašvuhtii	lˈĕæt.her.heæ.d>ɑ.lɑʃ»vˌuh.tij
Leatherhead+N+Prop+Der/laš+A+AttrCmp+Der/bealjat+A+Pl+Nom	Leatherheadalašbealjagat	lˈĕæt.her.heæ.d>ɑ.lɑʃ»bˌĕælə.jɑ.gɑh
Leatherhead+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Ess	Leatherheadalašivnnagin	lˈĕæt.her.heæ.d>ɑ.lɑʃ»ˌivn.nɑ.gin
Leatherhead+N+Prop+Der/laš+A+AttrCmp+Der/linjjat+A+Sg+Gen	Leatherheadalašlinjjaga	lˈĕæt.her.heæ.d>ɑ.lɑʃ»lˌiɲ.jɑ.gɑ
Leatherhead+N+Prop+Der/laš+A+Sg+Nom	Leatherheadalaš	lˈĕæt.her.heæ.d>ɑ.lɑʃ
Leatherhead+N+Prop+Der/laš+A+Sg+Gen+PxSg1	Leatherheadalažžan	lˈĕæt.her.heæ.d>ɑ.lɑdː.tʃɑn
Leatherhead+N+Prop+Der/laš+A+Sg+Ill+PxPl2	Leatherheadalažžaseattet	lˈĕæt.her.heæ.d>ɑ.lɑdː.tʃɑ.sĕæt.teh
Leatherhead+N+Prop+Der/laš+A+Sg+Nom+PxSg2	Leatherheadalažžat	lˈĕæt.her.heæ.d>ɑ.lɑdː.tʃɑh
Leatherhead+N+Prop+Der/laš+A+Ess+PxSg1	Leatherheadalažžanan	lˈĕæt.her.heæ.d>ɑ.lɑdː.tʃɑ.nɑn
Leatherhead+N+Prop+Der/laš+A+Ess+PxSg2	Leatherheadalažžanat	lˈĕæt.her.heæ.d>ɑ.lɑdː.tʃɑ.nɑh
Leatherhead+N+Prop+Der/laš+A+Sg+Ill	Leatherheadalažžii	lˈĕæt.her.heæ.d>ɑ.lɑdː.tʃij
Leicestershire+N+Prop+Ess	Leicestershiren	lˈejː.çtses.ter#shˌi.re>n
Leicestershire+N+Prop+Sg+Acc	Leicestershire	lˈejː.çtses.ter#shˌi.re>
Leicestershire+N+Prop+Sg+Gen	Leicestershire	lˈejː.çtses.ter#shˌi.re>
Leicestershire+N+Prop+Sg+Loc	Leicestershires	lˈejː.çtses.ter#shˌi.re>s
Leicestershire+N+Prop+Der/laš+A+Pl+Ill	Leicestershirelaččaide	lˈejː.çtses.ter#shˌi.re>.lɑt.tʃɑj.de
Leicestershire+N+Prop+Der/laš+A+Pl+Nom+PxDu1	Leicestershirelaččaideame	lˈejː.çtses.ter#shˌi.re>.lɑt.tʃɑj.dĕæ.me
Leicestershire+N+Prop+Der/laš+A+Pl+Nom	Leicestershirelaččat	lˈejː.çtses.ter#shˌi.re>.lɑt.tʃɑh
Leicestershire+N+Prop+Der/laš+A+Sg+Acc+PxDu3	Leicestershirelaččaska	lˈejː.çtses.ter#shˌi.re>.lɑt.tʃɑs.kɑ
Leicestershire+N+Prop+Der/laš+A+Sg+Loc+PxPl2	Leicestershirelaččasteattet	lˈejː.çtses.ter#shˌi.re>.lɑt.tʃɑs.tĕæt.teh
Leicestershire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Leicestershirelašvuhtii	lˈejː.çtses.ter#shˌi.re>.lɑʃ»vˌuh.tij
Leicestershire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Der/viđá+Adv	Leicestershirelašvuohtaviđá	lˈejː.çtses.ter#shˌi.re>.lɑʃ»vˌuoh.tɑ»vˌi.ðɑː
Leicestershire+N+Prop+Der/laš+A+AttrCmp+Der/hájat+A+Pl+Nom	Leicestershirelašhájagat	lˈejː.çtses.ter#shˌi.re>.lɑʃ»hˌɑː.jɑ.gɑh
Leicestershire+N+Prop+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Der/vuohta+N+Sg+Ill	Leicestershirelaškultuvrratvuhtii	lˈejː.çtses.ter#shˌi.re>.lɑʃ»kˌul.htuvr.rɑh»vˌuh.tij
Leicestershire+N+Prop+Der/laš+A+AttrCmp+Der/ávjjot+A+Ess	Leicestershirelašávjjogin	lˈejː.çtses.ter#shˌi.re>.lɑʃ»ˌɑːvj.jo.gin
Leicestershire+N+Prop+Der/laš+A+AttrCmp+Der/šlájat+A+Ess	Leicestershirelaššlájagin	lˈejː.çtses.ter#shˌi.re>.lɑʃ»ʃlˌɑː.jɑ.gin
Leicestershire+N+Prop+Der/laš+A+Sg+Nom	Leicestershirelaš	lˈejː.çtses.ter#shˌi.re>.lɑʃ
Leicestershire+N+Prop+Der/laš+A+Ess+PxPl1	Leicestershirelažžaneamet	lˈejː.çtses.ter#shˌi.re>.lɑdː.tʃɑ.nĕæ.meh
Leicestershire+N+Prop+Der/laš+A+Ess+PxSg1	Leicestershirelažžanan	lˈejː.çtses.ter#shˌi.re>.lɑdː.tʃɑ.nɑn
Leicestershire+N+Prop+Der/laš+A+Sg+Ill	Leicestershirelažžii	lˈejː.çtses.ter#shˌi.re>.lɑdː.tʃij
Leicestershire+N+Prop+Sg+Com	Leicestershiriin	lˈejː.çtses.ter#shˌi.ri>in
Leicestershire+N+Prop+Sg+Ill	Leicestershirii	lˈejː.çtses.ter#shˌi.ri>i
Maidenhead+N+Prop+Ess	Maidenheadan	mˈɑjː.ten.heæ.d>ɑn
Maidenhead+N+Prop+Sg+Acc	Maidenhead	mˈɑjː.ten.heæd>
Maidenhead+N+Prop+Sg+Gen	Maidenhead	mˈɑjː.ten.heæd>
Maidenhead+N+Prop+Sg+Nom	Maidenhead	mˈɑjː.ten.heæd>
Maidenhead+N+Prop+Sg+Acc	Maidenheada	mˈɑjː.ten.heæ.d>ɑ
Maidenhead+N+Prop+Sg+Com	Maidenheadain	mˈɑjː.ten.heæ.d>ɑjn
Maidenhead+N+Prop+Sg+Gen	Maidenheada	mˈɑjː.ten.heæ.d>ɑ
Maidenhead+N+Prop+Sg+Loc	Maidenheadas	mˈɑjː.ten.heæ.d>ɑs
Maidenhead+N+Prop+Sg+Ill	Maidenheadii	mˈɑjː.ten.heæ.d>ij
Maidenhead+N+Prop+Der/laš+A+Pl+Acc+PxDu1	Maidenheadalaččaideame	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.me
Maidenhead+N+Prop+Der/laš+A+Pl+Acc+PxDu2	Maidenheadalaččaideatte	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæt.te
Maidenhead+N+Prop+Der/laš+A+Pl+Acc+PxPl1	Maidenheadalaččaideamet	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.meh
Maidenhead+N+Prop+Der/laš+A+Pl+Acc+PxPl3	Maidenheadalaččaideaset	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.seh
Maidenhead+N+Prop+Der/laš+A+Pl+Acc+PxSg1	Maidenheadalaččaidan	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dɑn
Maidenhead+N+Prop+Der/laš+A+Pl+Com+PxDu3	Maidenheadalaččaideaskkaguin	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.deæs.kɑ.gujn
Maidenhead+N+Prop+Der/laš+A+Pl+Com+PxPl2	Maidenheadalaččaideattetguin	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæt.tet.gujn
Maidenhead+N+Prop+Der/laš+A+Pl+Com	Maidenheadalaččaiguin	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.gujn
Maidenhead+N+Prop+Der/laš+A+Pl+Gen+PxDu1	Maidenheadalaččaideame	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.me
Maidenhead+N+Prop+Der/laš+A+Pl+Gen+PxDu2	Maidenheadalaččaideatte	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæt.te
Maidenhead+N+Prop+Der/laš+A+Pl+Gen+PxPl3	Maidenheadalaččaideaset	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.seh
Maidenhead+N+Prop+Der/laš+A+Pl+Gen+PxSg3	Maidenheadalaččaidis	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dis
Maidenhead+N+Prop+Der/laš+A+Pl+Ill+PxDu1	Maidenheadalaččaidasame	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dɑ.sɑ.me
Maidenhead+N+Prop+Der/laš+A+Pl+Ill	Maidenheadalaččaide	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.de
Maidenhead+N+Prop+Der/laš+A+Pl+Loc+PxDu1	Maidenheadalaččaineame	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.nĕæ.me
Maidenhead+N+Prop+Der/laš+A+Pl+Loc+PxDu3	Maidenheadalaččaineaskka	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.neæs.kɑ
Maidenhead+N+Prop+Der/laš+A+Pl+Loc+PxPl1	Maidenheadalaččaineamet	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.nĕæ.meh
Maidenhead+N+Prop+Der/laš+A+Pl+Loc+PxSg3	Maidenheadalaččainis	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.nis
Maidenhead+N+Prop+Der/laš+A+Pl+Loc	Maidenheadalaččain	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑjn
Maidenhead+N+Prop+Der/laš+A+Pl+Nom+PxDu1	Maidenheadalaččaideame	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.me
Maidenhead+N+Prop+Der/laš+A+Pl+Nom+PxPl1	Maidenheadalaččaideamet	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.meh
Maidenhead+N+Prop+Der/laš+A+Pl+Nom+PxSg1	Maidenheadalaččaidan	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.dɑn
Maidenhead+N+Prop+Der/laš+A+Pl+Nom	Maidenheadalaččat	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑh
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxDu2	Maidenheadalaččade	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ.de
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxDu3	Maidenheadalaččaska	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑs.kɑ
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxPl2	Maidenheadalaččadet	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ.deh
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Maidenheadalaččaset	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ.seh
Maidenhead+N+Prop+Der/laš+A+Sg+Acc	Maidenheadalačča	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ
Maidenhead+N+Prop+Der/laš+A+Sg+Com+PxDu3	Maidenheadalaččaineaskka	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑj.neæs.kɑ
Maidenhead+N+Prop+Der/laš+A+Sg+Com	Maidenheadalaččain	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑjn
Maidenhead+N+Prop+Der/laš+A+Sg+Gen+PxDu2	Maidenheadalaččade	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ.de
Maidenhead+N+Prop+Der/laš+A+Sg+Gen+PxDu3	Maidenheadalaččaska	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑs.kɑ
Maidenhead+N+Prop+Der/laš+A+Sg+Gen+PxPl3	Maidenheadalaččaset	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ.seh
Maidenhead+N+Prop+Der/laš+A+Sg+Gen+PxSg2	Maidenheadalaččat	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑh
Maidenhead+N+Prop+Der/laš+A+Sg+Gen	Maidenheadalačča	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑ
Maidenhead+N+Prop+Der/laš+A+Sg+Loc	Maidenheadalaččas	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑs
Maidenhead+N+Prop+Der/laš+A+Sg+Loc+PxDu2	Maidenheadalaččasteatte	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑs.tĕæt.te
Maidenhead+N+Prop+Der/laš+A+Sg+Loc+PxSg2	Maidenheadalaččastat	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑs.tɑh
Maidenhead+N+Prop+Der/laš+A+Sg+Loc+PxSg3	Maidenheadalaččastis	mˈɑjː.ten.heæ.d>ɑ.lɑt.tʃɑs.tis
Maidenhead+N+Prop+Der/laš+A+Attr	Maidenheadalaš	mˈɑjː.ten.heæ.d>ɑ.lɑʃ
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Maidenheadalašvuhtii	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuh.tij
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Acc+PxPl1	Maidenheadalašvuohtamet	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuoh.tɑ.meh
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Der/viđá+Adv	Maidenheadalašvuohtaviđá	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuoh.tɑ»vˌi.ðɑː
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Pl+Ill+PxDu2	Maidenheadalašvuođaidasade	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuo.ðɑj.dˌɑ.sɑ.de
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Pl+Nom+PxDu3	Maidenheadalašvuođaideaskka	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuo.ðɑj.dˌeæs.kɑ
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Com+PxSg1	Maidenheadalašvuođainan	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuo.ðɑj.nɑn
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Loc	Maidenheadalašvuođas	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuo.ðɑs
Maidenhead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Loc+PxDu3	Maidenheadalašvuođasteaskka	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuo.ðɑs.tˌeæs.kɑ
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/bealjat+A+Ess	Maidenheadalašbealjagin	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»bˌĕælə.jɑ.gin
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/bealjat+A+Der/vuohta+N+Ess+PxPl3	Maidenheadalašbealjatvuohtaneaset	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»bˌĕælə.jɑh»vˌuoh.tɑ.nˌĕæ.seh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/bánat+A+Pl+Nom	Maidenheadalašbánagat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»bˌɑː.nɑ.gɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/fárddat+A+Sg+Acc	Maidenheadalašfárddaga	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»fˌɑːrt.tɑ.gɑ
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/gieškkat+A+Pl+Acc	Maidenheadalašgieškkagiid	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»gˌieʃ.kɑ.gijh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/guvllot+A+Sg+Gen	Maidenheadalašguvlloga	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»gˌuvl.lo.gɑ
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Ess	Maidenheadalašivnnagin	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌivn.nɑ.gin
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Sg+Acc	Maidenheadalašivnnaga	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌivn.nɑ.gɑ
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Sg+Nom	Maidenheadalašivnnat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌivn.nɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Der/vuohta+N+Pl+Nom	Maidenheadalašivnnatvuođat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌivn.nɑh»vˌuo.ðɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/jagat+A+Sg+Nom	Maidenheadalašjagat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»jˌɑ.gɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Sg+Nom	Maidenheadalaškultuvrrat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»kˌul.htuvr.rɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/lahtot+A+Attr	Maidenheadalašlahtot	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»lˌɑh.toh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/lanjat+A+Sg+Com	Maidenheadalašlanjagiin	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»lˌɑn.jɑ.gijn
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/njunat+A+Attr	Maidenheadalašnjunat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ɲˌu.nɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/oaivvat+A+Attr	Maidenheadalašoaivvat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌoɑjv.vɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Attr	Maidenheadalašpláhtat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»plˌɑːh.tɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Sg+Nom	Maidenheadalašpláhtat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»plˌɑːh.tɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Der/vuohta+N+Sg+Com+PxSg3	Maidenheadalašpláhtatvuođainis	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»plˌɑːh.tɑh»vˌuo.ðɑj.nis
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/rattat+A+Pl+Nom	Maidenheadalašrattagat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»rˌɑt.tɑ.gɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/ravddat+A+Der/vuohta+N+Sg+Ill	Maidenheadalašravddatvuhtii	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»rˌɑvt.tɑh»vˌuh.tij
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/rávnnjat+A+Ess	Maidenheadalašrávnnjagin	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»rˌɑːvn.ɲɑ.gin
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/uvssot+A+Attr	Maidenheadalašuvssot	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌuvs.soh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/vuovttat+A+Der/vuohta+N+Sg+Ill	Maidenheadalašvuovttatvuhtii	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»vˌuovht.tɑh»vˌuh.tij
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/áissat+A+Attr	Maidenheadalašáissat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ˌɑːjs.sɑh
Maidenhead+N+Prop+Der/laš+A+AttrCmp+Der/šlájat+A+Pl+Nom	Maidenheadalaššlájagat	mˈɑjː.ten.heæ.d>ɑ.lɑʃ»ʃlˌɑː.jɑ.gɑh
Maidenhead+N+Prop+Der/laš+A+Sg+Nom	Maidenheadalaš	mˈɑjː.ten.heæ.d>ɑ.lɑʃ
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxDu1	Maidenheadalažžame	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.me
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxPl1	Maidenheadalažžamet	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.meh
Maidenhead+N+Prop+Der/laš+A+Sg+Acc+PxSg1	Maidenheadalažžan	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑn
Maidenhead+N+Prop+Der/laš+A+Sg+Gen+PxPl1	Maidenheadalažžamet	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.meh
Maidenhead+N+Prop+Der/laš+A+Sg+Gen+PxSg1	Maidenheadalažžan	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑn
Maidenhead+N+Prop+Der/laš+A+Sg+Ill+PxDu2	Maidenheadalažžaseatte	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.sĕæt.te
Maidenhead+N+Prop+Der/laš+A+Sg+Ill+PxDu3	Maidenheadalažžaseaskka	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.seæs.kɑ
Maidenhead+N+Prop+Der/laš+A+Sg+Ill+PxPl3	Maidenheadalažžaseaset	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.sĕæ.seh
Maidenhead+N+Prop+Der/laš+A+Sg+Ill+PxSg1	Maidenheadalažžasan	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.sɑn
Maidenhead+N+Prop+Der/laš+A+Sg+Ill+PxSg2	Maidenheadalažžasat	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.sɑh
Maidenhead+N+Prop+Der/laš+A+Sg+Ill+PxSg3	Maidenheadalažžasis	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.sis
Maidenhead+N+Prop+Der/laš+A+Sg+Nom+PxSg1	Maidenheadalažžan	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑn
Maidenhead+N+Prop+Der/laš+A+Sg+Nom+PxSg3	Maidenheadalažžas	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑs
Maidenhead+N+Prop+Der/laš+A+Ess+PxDu1	Maidenheadalažžaneame	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.nĕæ.me
Maidenhead+N+Prop+Der/laš+A+Ess+PxDu2	Maidenheadalažžaneatte	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.nĕæt.te
Maidenhead+N+Prop+Der/laš+A+Ess+PxDu3	Maidenheadalažžaneaskka	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.neæs.kɑ
Maidenhead+N+Prop+Der/laš+A+Ess+PxPl1	Maidenheadalažžaneamet	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.nĕæ.meh
Maidenhead+N+Prop+Der/laš+A+Ess+PxSg1	Maidenheadalažžanan	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.nɑn
Maidenhead+N+Prop+Der/laš+A+Ess+PxSg2	Maidenheadalažžanat	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.nɑh
Maidenhead+N+Prop+Der/laš+A+Ess+PxSg3	Maidenheadalažžanis	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑ.nis
Maidenhead+N+Prop+Der/laš+A+Ess	Maidenheadalažžan	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃɑn
Maidenhead+N+Prop+Der/laš+A+Sg+Ill	Maidenheadalažžii	mˈɑjː.ten.heæ.d>ɑ.lɑdː.tʃij
Need+N+Prop+Ess	Needan	nˈe.e.d>ɑn
Need+N+Prop+Sg+Acc	Need	nˈe.ed>
Need+N+Prop+Sg+Gen	Need	nˈe.ed>
Need+N+Prop+Sg+Nom	Need	nˈe.ed>
Need+N+Prop+Sg+Acc	Needa	nˈe.e.d>ɑ
Need+N+Prop+Sg+Com	Needain	nˈe.e.d>ɑjn
Need+N+Prop+Sg+Gen	Needa	nˈe.e.d>ɑ
Need+N+Prop+Sg+Loc	Needas	nˈe.e.d>ɑs
Need+N+Prop+Sg+Ill	Needii	nˈe.e.d>ij
Northamptonshire+N+Prop+Ess	Northamptonshiren	nˈorth.ɑmhp.ton#shˌi.re>n
Northamptonshire+N+Prop+Sg+Acc	Northamptonshire	nˈorth.ɑmhp.ton#shˌi.re>
Northamptonshire+N+Prop+Sg+Gen	Northamptonshire	nˈorth.ɑmhp.ton#shˌi.re>
Northamptonshire+N+Prop+Sg+Nom	Northamptonshire	nˈorth.ɑmhp.ton#shˌi.re>
Northamptonshire+N+Prop+Sg+Loc	Northamptonshires	nˈorth.ɑmhp.ton#shˌi.re>s
Northamptonshire+N+Prop+Der/laš+A+Pl+Acc+PxPl1	Northamptonshirelaččaideamet	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑj.dĕæ.meh
Northamptonshire+N+Prop+Der/laš+A+Pl+Gen+PxPl2	Northamptonshirelaččaideattet	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑj.dĕæt.teh
Northamptonshire+N+Prop+Der/laš+A+Pl+Ill	Northamptonshirelaččaide	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑj.de
Northamptonshire+N+Prop+Der/laš+A+Pl+Nom+PxSg1	Northamptonshirelaččaidan	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑj.dɑn
Northamptonshire+N+Prop+Der/laš+A+Sg+Acc	Northamptonshirelačča	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑ
Northamptonshire+N+Prop+Der/laš+A+Sg+Loc	Northamptonshirelaččas	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑs
Northamptonshire+N+Prop+Der/laš+A+Sg+Loc+PxSg1	Northamptonshirelaččastan	nˈorth.ɑmhp.ton#shˌi.re>.lɑt.tʃɑs.tɑn
Northamptonshire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Northamptonshirelašvuhtii	nˈorth.ɑmhp.ton#shˌi.re>.lɑʃ»vˌuh.tij
