Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Asikainen+N+Prop+Sem/Sur+Pl+Nom	Asikaisat	ˈɑ.si.kɑj>.sɑh
Asikainen+N+Prop+Sem/Sur+Sg+Com	Asikaisiin	ˈɑ.si.kɑj>.sijn
Asikainen+N+Prop+Sem/Sur+Sg+Loc	Asikaisis	ˈɑ.si.kɑj>.sis
Askola+N+Prop+Ess	Askolan	ˈɑsː.ko.lɑ>n
Askola+N+Prop+Sg+Acc	Askola	ˈɑsː.ko.lɑ>
Askola+N+Prop+Sg+Com	Askolain	ˈɑsː.ko.lɑ>in
Askola+N+Prop+Sg+Loc	Askolas	ˈɑsː.ko.lɑ>s
Astala+N+Prop+Sem/Sur+Ess	Astalan	ˈɑsː.tɑ.lɑ>n
Astala+N+Prop+Sem/Sur+Pl+Ill	Astalaide	ˈɑsː.tɑ.lɑ>i.de
Astikainen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Astikainen	ˈɑsː.ti.kɑj>.nen
Astikainen+N+Prop+Sem/Sur+Sg+Loc	Astikainenis	ˈɑsː.ti.kɑj>.ne.nis
Asunmaa+N+Prop+Sem/Sur+Sg+Acc	Asunmaa	ˈɑ.sun#mɑː>
Asunmaa+N+Prop+Sem/Sur+Sg+Ill	Asunmaai	ˈɑ.sun#mɑː>i
Asunmaa+N+Prop+Sem/Sur+Sg+Loc	Asunmaas	ˈɑ.sun#mɑː>s
Aula+N+Prop+Ess	Aulan	ˈɑu.lɑ>n
Aunola+N+Prop+Sem/Sur+Ess	Aunolan	ˈɑu.no.lɑ>n
Aunola+N+Prop+Sem/Sur+Pl+Gen	Aunolaid	ˈɑu.no.lɑ>id
Auranen+N+Prop+Sem/Sur+Ess	Aurasin	ˈɑu.rɑ>.sin
Autioniemi+N+Prop+Ess	Autioniemin	ˈɑu.tio#nˌie.mi>n
Autioniemi+N+Prop+Sg+Acc	Autioniemi	ˈɑu.tio#nˌie.mi>
Auvinen+N+Prop+Sem/Sur+Ess	Auvisin	ˈɑu.vi>.sin
Auvinen+N+Prop+Sem/Sur+Pl+Nom	Auvisat	ˈɑu.vi>.sɑh
Avikainen+N+Prop+Sem/Sur+Ess	Avikainenin	ˈɑ.vi.kɑj>.ne.nin
Avikainen+N+Prop+Sem/Sur+Pl+Nom	Avikainenat	ˈɑ.vi.kɑj>.ne.nɑh
Avikainen+N+Prop+Sem/Sur+Pl+Com	Avikaineniiguin	ˈɑ.vi.kɑj>.ne.nij.gujn
Avikainen+N+Prop+Sem/Sur+Sg+Acc	Avikainen	ˈɑ.vi.kɑj>.nen
Avikainen+N+Prop+Sem/Sur+Sg+Acc	Avikainena	ˈɑ.vi.kɑj>.ne.nɑ
Avikainen+N+Prop+Sem/Sur+Sg+Ill	Avikainenii	ˈɑ.vi.kɑj>.ne.nij
Avikainen+N+Prop+Sem/Sur+Sg+Loc	Avikainenis	ˈɑ.vi.kɑj>.ne.nis
Avikainen+N+Prop+Sem/Sur+Ess	Avikaisin	ˈɑ.vi.kɑj>.sin
Avikainen+N+Prop+Sem/Sur+Pl+Nom	Avikaisat	ˈɑ.vi.kɑj>.sɑh
Avikainen+N+Prop+Sem/Sur+Sg+Com	Avikaisiin	ˈɑ.vi.kɑj>.sijn
Avila+N+Prop+Ess	Avilan	ˈɑ.vi.lɑ>n
Avila+N+Prop+Sg+Com	Avilain	ˈɑ.vi.lɑ>in
Avila+N+Prop+Sg+Ill	Avilai	ˈɑ.vi.lɑ>i
Avila+N+Prop+Sg+Loc	Avilas	ˈɑ.vi.lɑ>s
Baala+N+Prop+Ess	Baalan	pˈɑː.lɑ>n
Baala+N+Prop+Sg+Acc	Baala	pˈɑː.lɑ>
Baala+N+Prop+Sg+Com	Baalain	pˈɑː.lɑ>in
Baala+N+Prop+Sg+Ill	Baalai	pˈɑː.lɑ>i
Baala+N+Prop+Sg+Loc	Baalas	pˈɑː.lɑ>s
Bakka+N+Prop+Ess	Bakkan	pˈɑk.kɑ>n
Bakka+N+Prop+Sg+Gen	Bakka	pˈɑk.kɑ>
Bakka+N+Prop+Sg+Ill	Bakkai	pˈɑk.kɑ>i
Bakka+N+Prop+Sg+Loc	Bakkas	pˈɑk.kɑ>s
Ballovaara+N+Prop+Sem/Sur+Ess	Ballovaaran	pˈɑl.lo#vˌɑː.rɑ>n
Ballovaara+N+Prop+Sem/Sur+Pl+Ill	Ballovaaraide	pˈɑl.lo#vˌɑː.rɑ>i.de
Ballovaara+N+Prop+Sem/Sur+Pl+Nom	Ballovaarat	pˈɑl.lo#vˌɑː.rɑ>h
Ballovaara+N+Prop+Sem/Sur+Sg+Gen	Ballovaara	pˈɑl.lo#vˌɑː.rɑ>
Ballovaara+N+Prop+Sem/Sur+Sg+Nom	Ballovaara	pˈɑl.lo#vˌɑː.rɑ>
Ballovaara+N+Prop+Sem/Sur+Sg+Ill	Ballovaarai	pˈɑl.lo#vˌɑː.rɑ>i
Bela+N+Prop+Sem/Fem+Ess	Belan	pˈe.lɑ>n
Bela+N+Prop+Sem/Fem+Pl+Gen	Belaid	pˈe.lɑ>id
Bela+N+Prop+Sem/Fem+Pl+Ill	Belaide	pˈe.lɑ>i.de
Bela+N+Prop+Sem/Fem+Pl+Nom	Belat	pˈe.lɑ>h
Bela+N+Prop+Sem/Fem+Sg+Acc	Bela	pˈe.lɑ>
Bela+N+Prop+Sem/Fem+Sg+Com	Belain	pˈe.lɑ>in
Bela+N+Prop+Sem/Fem+Sg+Ill	Belai	pˈe.lɑ>i
Bela+N+Prop+Sem/Fem+Sg+Loc	Belas	pˈe.lɑ>s
Bela+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Belaš	pˈe.lɑ>ʃ
Bela+N+Prop+Sem/Fem+Der/Dimin+Ess	Belažin	pˈe.lɑ>.žin
Bela+N+Prop+Sem/Fem+Der/Dimin+Sg+Ill	Belažii	pˈe.lɑ>.žij
Bela+N+Prop+Sem/Fem+Der/Dimin+Sg+Loc	Belažis	pˈe.lɑ>.žis
Benguela+N+Prop+Ess	Benguelan	pˈeŋ.ŋue.lɑ>n
Benguela+N+Prop+Sg+Acc	Benguela	pˈeŋ.ŋue.lɑ>
Benguela+N+Prop+Sg+Gen	Benguela	pˈeŋ.ŋue.lɑ>
Benguela+N+Prop+Sg+Nom	Benguela	pˈeŋ.ŋue.lɑ>
Benguela+N+Prop+Sg+Com	Benguelain	pˈeŋ.ŋue.lɑ>in
Benguela+N+Prop+Sg+Ill	Benguelai	pˈeŋ.ŋue.lɑ>i
Benguela+N+Prop+Sg+Loc	Benguelas	pˈeŋ.ŋue.lɑ>s
Björninen+N+Prop+Sem/Sur+Ess	Björninenin	bjˈør.ni>.ne.nin
