Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Eskonen+N+Prop+Sem/Sur+Sg+Acc	Eskosa	ˈesː.ko>.sɑ
Eskonen+N+Prop+Sem/Sur+Sg+Ill	Eskosii	ˈesː.ko>.sij
Estola+N+Prop+Sem/Sur+Ess	Estolan	ˈesː.to.lɑ>n
Estola+N+Prop+Sem/Sur+Pl+Com	Estolaiguin	ˈesː.to.lɑ>i.gujn
Estola+N+Prop+Sem/Sur+Pl+Nom	Estolat	ˈesː.to.lɑ>h
Estola+N+Prop+Sem/Sur+Sg+Gen	Estola	ˈesː.to.lɑ>
Estola+N+Prop+Sem/Sur+Sg+Nom	Estola	ˈesː.to.lɑ>
Estola+N+Prop+Sem/Sur+Sg+Ill	Estolai	ˈesː.to.lɑ>i
Estola+N+Prop+Sem/Sur+Sg+Loc	Estolas	ˈesː.to.lɑ>s
Eteläaho+N+Prop+Sem/Sur+Pl+Nom	Eteläahot	ˈe.te.læ#ˌɑ.ho>h
Eteläaho+N+Prop+Sem/Sur+Sg+Ill	Eteläahoi	ˈe.te.læ#ˌɑ.ho>i
Eteläaho+N+Prop+Sem/Sur+Sg+Loc	Eteläahos	ˈe.te.læ#ˌɑ.ho>s
Eteläinen+N+Prop+Sem/Sur+Ess	Eteläisin	ˈe.te.læj>.sin
Eteläinen+N+Prop+Sem/Sur+Pl+Nom	Eteläisat	ˈe.te.læj>.sɑh
Etelämäki+N+Prop+Sg+Loc	Etelämäks	ˈe.te.læ#mæk>s
Eteläpää+N+Prop+Ess	Eteläpään	ˈe.te.læ#pææ>n
Eteläpää+N+Prop+Sg+Ill	Eteläpääi	ˈe.te.læ#pææ>i
Ettanen+N+Prop+Sem/Sur+Ess	Ettanenin	ˈet.tɑ>.ne.nin
Ettanen+N+Prop+Sem/Sur+Pl+Gen	Ettaneniid	ˈet.tɑ>.ne.nijh
Ettanen+N+Prop+Sem/Sur+Sg+Acc	Ettanen	ˈet.tɑ>.nen
Ettanen+N+Prop+Sem/Sur+Ess	Ettasin	ˈet.tɑ>.sin
Ettanen+N+Prop+Sem/Sur+Pl+Nom	Ettasat	ˈet.tɑ>.sɑh
Ettanen+N+Prop+Sem/Sur+Pl+Ill	Ettasiidda	ˈet.tɑ>.sijt.tɑ
Ettanen+N+Prop+Sem/Sur+Sg+Gen	Ettasa	ˈet.tɑ>.sɑ
Ettanen+N+Prop+Sem/Sur+Sg+Ill	Ettasii	ˈet.tɑ>.sij
Eveliina+N+Prop+Sem/Fem+Ess	Eveliinan	ˈe.ve.lˌij.nɑ>n
Eveliina+N+Prop+Sem/Fem+Pl+Com	Eveliinaiguin	ˈe.ve.lˌij.nɑ>i.gujn
Eveliina+N+Prop+Sem/Fem+Pl+Nom	Eveliinat	ˈe.ve.lˌij.nɑ>h
Eveliina+N+Prop+Sem/Fem+Sg+Acc	Eveliina	ˈe.ve.lˌij.nɑ>
Eveliina+N+Prop+Sem/Fem+Sg+Ill	Eveliinai	ˈe.ve.lˌij.nɑ>i
Eveliina+N+Prop+Sem/Fem+Sg+Loc	Eveliinas	ˈe.ve.lˌij.nɑ>s
Eveliina+N+Prop+Sem/Fem+Attr	Eveliina	ˈe.ve.lˌij.nɑ>
Eveliina+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Eveliinaš	ˈe.ve.lˌij.nɑ>ʃ
Eveliina+N+Prop+Sem/Fem+Der/Dimin+Ess	Eveliinažin	ˈe.ve.lˌij.nɑ>.žin
Fanuela+N+Prop+Ess	Fanuelan	fˈɑ.nue.lɑ>n
Fanuela+N+Prop+Sg+Acc	Fanuela	fˈɑ.nue.lɑ>
Fanuela+N+Prop+Sg+Gen	Fanuela	fˈɑ.nue.lɑ>
Fanuela+N+Prop+Sg+Nom	Fanuela	fˈɑ.nue.lɑ>
Fanuela+N+Prop+Sg+Com	Fanuelain	fˈɑ.nue.lɑ>in
Fanuela+N+Prop+Sg+Ill	Fanuelai	fˈɑ.nue.lɑ>i
Fanuela+N+Prop+Sg+Loc	Fanuelas	fˈɑ.nue.lɑ>s
Filppula+N+Prop+Sem/Sur+Ess	Filppulan	fˈilp.pu.lɑ>n
Filppula+N+Prop+Sem/Sur+Pl+Acc	Filppulaid	fˈilp.pu.lɑ>id
Filppula+N+Prop+Sem/Sur+Pl+Gen	Filppulaid	fˈilp.pu.lɑ>id
Filppula+N+Prop+Sem/Sur+Pl+Ill	Filppulaide	fˈilp.pu.lɑ>i.de
Filppula+N+Prop+Sem/Sur+Pl+Loc	Filppulain	fˈilp.pu.lɑ>in
Filppula+N+Prop+Sem/Sur+Pl+Nom	Filppulat	fˈilp.pu.lɑ>h
Filppula+N+Prop+Sem/Sur+Sg+Acc	Filppula	fˈilp.pu.lɑ>
Filppula+N+Prop+Sem/Sur+Sg+Gen	Filppula	fˈilp.pu.lɑ>
Filppula+N+Prop+Sem/Sur+Sg+Nom	Filppula	fˈilp.pu.lɑ>
Filppula+N+Prop+Sem/Sur+Sg+Com	Filppulain	fˈilp.pu.lɑ>in
Filppula+N+Prop+Sem/Sur+Sg+Ill	Filppulai	fˈilp.pu.lɑ>i
Filppula+N+Prop+Sem/Sur+Sg+Loc	Filppulas	fˈilp.pu.lɑ>s
Finnilä+N+Prop+Sem/Sur+Ess	Finnilän	fˈin.ni.læ>n
Finnilä+N+Prop+Sem/Sur+Pl+Gen	Finniläid	fˈin.ni.læ>id
Finnilä+N+Prop+Sem/Sur+Pl+Ill	Finniläide	fˈin.ni.læ>i.de
Finnilä+N+Prop+Sem/Sur+Pl+Nom	Finnilät	fˈin.ni.læ>h
Finnilä+N+Prop+Sem/Sur+Sg+Acc	Finnilä	fˈin.ni.læ>
Finnilä+N+Prop+Sem/Sur+Sg+Gen	Finnilä	fˈin.ni.læ>
Finnilä+N+Prop+Sem/Sur+Sg+Nom	Finnilä	fˈin.ni.læ>
Finnilä+N+Prop+Sem/Sur+Sg+Com	Finniläin	fˈin.ni.læ>in
Finnilä+N+Prop+Sem/Sur+Sg+Ill	Finniläi	fˈin.ni.læ>i
Finnilä+N+Prop+Sem/Sur+Sg+Loc	Finniläs	fˈin.ni.læ>s
Formula+N+Prop+Ess	Formulan	fˈor.mu.lɑ>n
Formula+N+Prop+Pl+Acc	Formulaid	fˈor.mu.lɑ>id
Formula+N+Prop+Pl+Com	Formulaiguin	fˈor.mu.lɑ>i.gujn
Formula+N+Prop+Pl+Gen	Formulaid	fˈor.mu.lɑ>id
Formula+N+Prop+Pl+Ill	Formulaide	fˈor.mu.lɑ>i.de
Formula+N+Prop+Pl+Loc	Formulain	fˈor.mu.lɑ>in
Formula+N+Prop+Pl+Nom	Formulat	fˈor.mu.lɑ>h
Formula+N+Prop+Sg+Acc	Formula	fˈor.mu.lɑ>
Formula+N+Prop+Sg+Gen	Formula	fˈor.mu.lɑ>
Formula+N+Prop+Sg+Com	Formulain	fˈor.mu.lɑ>in
Formula+N+Prop+Sg+Ill	Formulai	fˈor.mu.lɑ>i
Formula+N+Prop+Sg+Loc	Formulas	fˈor.mu.lɑ>s
Franssila+N+Prop+Sem/Sur+Ess	Franssilan	frˈɑns.si.lɑ>n
Franssila+N+Prop+Sem/Sur+Pl+Acc	Franssilaid	frˈɑns.si.lɑ>id
Franssila+N+Prop+Sem/Sur+Pl+Com	Franssilaiguin	frˈɑns.si.lɑ>i.gujn
Franssila+N+Prop+Sem/Sur+Pl+Gen	Franssilaid	frˈɑns.si.lɑ>id
Franssila+N+Prop+Sem/Sur+Pl+Ill	Franssilaide	frˈɑns.si.lɑ>i.de
Franssila+N+Prop+Sem/Sur+Pl+Loc	Franssilain	frˈɑns.si.lɑ>in
Franssila+N+Prop+Sem/Sur+Pl+Nom	Franssilat	frˈɑns.si.lɑ>h
Franssila+N+Prop+Sem/Sur+Sg+Acc	Franssila	frˈɑns.si.lɑ>
Franssila+N+Prop+Sem/Sur+Sg+Gen	Franssila	frˈɑns.si.lɑ>
Franssila+N+Prop+Sem/Sur+Sg+Nom	Franssila	frˈɑns.si.lɑ>
Franssila+N+Prop+Sem/Sur+Sg+Com	Franssilain	frˈɑns.si.lɑ>in
Franssila+N+Prop+Sem/Sur+Sg+Ill	Franssilai	frˈɑns.si.lɑ>i
Franssila+N+Prop+Sem/Sur+Sg+Loc	Franssilas	frˈɑns.si.lɑ>s
Gaula+N+Prop+Ess	Gaulan	kˈɑu.lɑ>n
Gaula+N+Prop+Sg+Acc	Gaula	kˈɑu.lɑ>
Gaula+N+Prop+Sg+Gen	Gaula	kˈɑu.lɑ>
Gaula+N+Prop+Sg+Nom	Gaula	kˈɑu.lɑ>
Gaula+N+Prop+Sg+Com	Gaulain	kˈɑu.lɑ>in
Gaula+N+Prop+Sg+Ill	Gaulai	kˈɑu.lɑ>i
Gaula+N+Prop+Sg+Loc	Gaulas	kˈɑu.lɑ>s
Gaulhåvola+N+Prop+Ess	Gaulhåvolan	kˈɑul.hoː.vˌo.lɑ>n
Gaulhåvola+N+Prop+Sg+Acc	Gaulhåvola	kˈɑul.hoː.vˌo.lɑ>
Gaulhåvola+N+Prop+Sg+Gen	Gaulhåvola	kˈɑul.hoː.vˌo.lɑ>
Gaulhåvola+N+Prop+Sg+Nom	Gaulhåvola	kˈɑul.hoː.vˌo.lɑ>
Gaulhåvola+N+Prop+Sg+Com	Gaulhåvolain	kˈɑul.hoː.vˌo.lɑ>in
Gaulhåvola+N+Prop+Sg+Ill	Gaulhåvolai	kˈɑul.hoː.vˌo.lɑ>i
Gaulhåvola+N+Prop+Sg+Loc	Gaulhåvolas	kˈɑul.hoː.vˌo.lɑ>s
Gorgonzola+N+Prop+Ess	Gorgonzolan	kˈorː.kon.zˌo.lɑ>n
Gorgonzola+N+Prop+Sg+Acc	Gorgonzola	kˈorː.kon.zˌo.lɑ>
Gorgonzola+N+Prop+Sg+Gen	Gorgonzola	kˈorː.kon.zˌo.lɑ>
Gorgonzola+N+Prop+Sg+Nom	Gorgonzola	kˈorː.kon.zˌo.lɑ>
Gorgonzola+N+Prop+Sg+Com	Gorgonzolain	kˈorː.kon.zˌo.lɑ>in
Gorgonzola+N+Prop+Sg+Ill	Gorgonzolai	kˈorː.kon.zˌo.lɑ>i
Gorgonzola+N+Prop+Sg+Loc	Gorgonzolas	kˈorː.kon.zˌo.lɑ>s
Haanpää+N+Prop+Sg+Ill	Haanpääi	hˈɑːn#pææ>i
Haapiainen+N+Prop+Sem/Sur+Pl+Nom	Haapiainenat	hˈɑː.pi.ɑj>.ne.nɑh
Haapiainen+N+Prop+Sem/Sur+Pl+Com	Haapiaineniiguin	hˈɑː.pi.ɑj>.ne.nij.gujn
Haikka+N+Prop+Ess	Haikkan	hˈɑjk.kɑ>n
Haimakainen+N+Prop+Sem/Sur+Pl+Nom	Haimakaisat	hˈɑj.mɑ.kɑj>.sɑh
Hakasalo+N+Prop+Sg+Ill	Hakasaloi	hˈɑ.kɑ#sˌɑ.lo>i
Hakonen+N+Prop+Sem/Sur+Ess	Hakonenin	hˈɑ.ko>.ne.nin
Hakonen+N+Prop+Sem/Sur+Pl+Nom	Hakosat	hˈɑ.ko>.sɑh
Hakula+N+Prop+Sem/Sur+Sg+Loc	Hakulas	hˈɑ.ku.lɑ>s
Halkosaari+N+Prop+Sg+Ill	Halkosaarii	hˈɑlː.ko#sˌɑː.ri>i
Halonen+N+Prop+Sem/Sur+Sg+Gen	Halosa	hˈɑ.lo>.sɑ
Hamunen+N+Prop+Sem/Sur+Ess	Hamusin	hˈɑ.mu>.sin
Hamunen+N+Prop+Sem/Sur+Pl+Nom	Hamusat	hˈɑ.mu>.sɑh
Hamunen+N+Prop+Sem/Sur+Pl+Gen	Hamusiid	hˈɑ.mu>.sijh
Hangasmaa+N+Prop+Sem/Sur+Pl+Ill	Hangasmaaide	hˈɑŋ.ŋɑs#mɑː>i.de
Hannila+N+Prop+Sem/Sur+Pl+Gen	Hannilaid	hˈɑn.ni.lɑ>id
Happonen+N+Prop+Sem/Sur+Ess	Happonenin	hˈɑp.po>.ne.nin
Happonen+N+Prop+Sem/Sur+Pl+Gen	Happoneniid	hˈɑp.po>.ne.nijh
Happonen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Happonen	hˈɑp.po>.nen
Happonen+N+Prop+Sem/Sur+Sg+Nom	Happonen	hˈɑp.po>.nen
Happonen+N+Prop+Sem/Sur+Sg+Com	Happoneniin	hˈɑp.po>.ne.nijn
Happonen+N+Prop+Sem/Sur+Ess	Happosin	hˈɑp.po>.sin
Happonen+N+Prop+Sem/Sur+Pl+Loc	Happosiin	hˈɑp.po>.sijn
Hartonen+N+Prop+Sem/Sur+Sg+Acc	Hartonena	hˈɑrː.to>.ne.nɑ
Hasanen+N+Prop+Sem/Sur+Pl+Nom	Hasasat	hˈɑ.sɑ>.sɑh
Hassinen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Hassinen	hˈɑs.si>.nen
Hassinen+N+Prop+Sem/Sur+Pl+Loc	Hassisiin	hˈɑs.si>.sijn
Hasunen+N+Prop+Sem/Sur+Ess	Hasusin	hˈɑ.su>.sin
Hatanpää+N+Prop+Sg+Acc	Hatanpää	hˈɑ.tɑn#pææ>
Hattukangas+N+Prop+Sg+Gen+Allegro	Hattukangas	hˈɑt.tu#kˌɑŋ.ŋɑs>
Hatunen+N+Prop+Sem/Sur+Sg+Ill	Hatusii	hˈɑ.tu>.sij
Hautsalo+N+Prop+Sem/Sur+Pl+Nom	Hautsalot	hˈɑuh#sˌɑ.lo>h
Hautsalo+N+Prop+Sem/Sur+Sg+Ill	Hautsaloi	hˈɑuh#sˌɑ.lo>i
Havukainen+N+Prop+Sem/Sur+Pl+Nom	Havukainenat	hˈɑ.vu.kɑj>.ne.nɑh
Havunen+N+Prop+Sem/Sur+Pl+Nom	Havunenat	hˈɑ.vu>.ne.nɑh
Havunen+N+Prop+Sem/Sur+Sg+Acc	Havunen	hˈɑ.vu>.nen
Heikkurinen+N+Prop+Sem/Sur+Sg+Com	Heikkurineniin	hˈejk.ku.ri>.ne.nijn
Heilala+N+Prop+Sem/Sur+Ess	Heilalan	hˈejː.lɑ.lɑ>n
Heilala+N+Prop+Sem/Sur+Pl+Gen	Heilalaid	hˈejː.lɑ.lɑ>id
Heininen+N+Prop+Sem/Sur+Sg+Loc	Heinisis	hˈej.ni>.sis
Heiskanen+N+Prop+Sem/Sur+Sg+Acc	Heiskasa	hˈejː.skɑ>.sɑ
Hekkala+N+Prop+Sem/Sur+Ess	Hekkalan	hˈek.kɑ.lɑ>n
Hekkala+N+Prop+Sem/Sur+Sg+Com	Hekkalain	hˈek.kɑ.lɑ>in
Hekkala+N+Prop+Sem/Sur+Sg+Ill	Hekkalai	hˈek.kɑ.lɑ>i
Helkala+N+Prop+Sem/Sur+Pl+Acc	Helkalaid	hˈelː.kɑ.lɑ>id
Helminen+N+Prop+Sem/Sur+Pl+Nom	Helmisat	hˈel.mi>.sɑh
Helttunen+N+Prop+Sem/Sur+Ess	Helttunenin	hˈelt.tu>.ne.nin
Helttunen+N+Prop+Sem/Sur+Pl+Acc	Helttusiid	hˈelt.tu>.sijh
Helttunen+N+Prop+Sem/Sur+Pl+Gen	Helttusiid	hˈelt.tu>.sijh
Hemmilä+N+Prop+Sem/Sur+Pl+Acc	Hemmiläid	hˈem.mi.læ>id
Hemmilä+N+Prop+Sem/Sur+Pl+Nom	Hemmilät	hˈem.mi.læ>h
Hemmilä+N+Prop+Sem/Sur+Sg+Gen	Hemmilä	hˈem.mi.læ>
Hemmilä+N+Prop+Sem/Sur+Sg+Nom	Hemmilä	hˈem.mi.læ>
Henninen+N+Prop+Sem/Sur+Pl+Nom	Henninenat	hˈen.ni>.ne.nɑh
Henninen+N+Prop+Sem/Sur+Ess	Hennisin	hˈen.ni>.sin
Henninen+N+Prop+Sem/Sur+Sg+Acc	Hennisa	hˈen.ni>.sɑ
Henttinen+N+Prop+Sem/Sur+Ess	Henttinenin	hˈent.ti>.ne.nin
Hermunen+N+Prop+Sem/Sur+Pl+Acc	Hermuneniid	hˈer.mu>.ne.nijh
Hermunen+N+Prop+Sem/Sur+Pl+Gen	Hermuneniid	hˈer.mu>.ne.nijh
Herttuainen+N+Prop+Sem/Sur+Sg+Gen	Herttuaisa	hˈert.tu.ɑj>.sɑ
Hessulainen+N+Prop+Sem/Sur+Pl+Nom	Hessulainenat	hˈes.su.lɑj>.ne.nɑh
Hessulainen+N+Prop+Sem/Sur+Ess	Hessulaisin	hˈes.su.lɑj>.sin
Hessulainen+N+Prop+Sem/Sur+Pl+Nom	Hessulaisat	hˈes.su.lɑj>.sɑh
Hettula+N+Prop+Sem/Sur+Ess	Hettulan	hˈet.tu.lɑ>n
Hettula+N+Prop+Sem/Sur+Sg+Loc	Hettulas	hˈet.tu.lɑ>s
Heusala+N+Prop+Sem/Sur+Ess	Heusalan	hˈeu.sɑ.lɑ>n
Heusala+N+Prop+Sem/Sur+Pl+Gen	Heusalaid	hˈeu.sɑ.lɑ>id
Heusala+N+Prop+Sem/Sur+Pl+Loc	Heusalain	hˈeu.sɑ.lɑ>in
Heusala+N+Prop+Sem/Sur+Sg+Nom	Heusala	hˈeu.sɑ.lɑ>
Heusala+N+Prop+Sem/Sur+Sg+Ill	Heusalai	hˈeu.sɑ.lɑ>i
Hevonkoski+N+Prop+Ess	Hevonkoskin	hˈe.von#kˌosː.ki>n
Hevonkoski+N+Prop+Sg+Loc	Hevonkoskis	hˈe.von#kˌosː.ki>s
Hiekkanen+N+Prop+Sem/Sur+Pl+Nom	Hiekkanenat	hˈiek.kɑ>.ne.nɑh
Hiekkanen+N+Prop+Sem/Sur+Sg+Loc	Hiekkasis	hˈiek.kɑ>.sis
Hienonen+N+Prop+Sem/Sur+Pl+Gen	Hienosiid	hˈĭe.no>.sijh
Hietaniemi+N+Prop+Sg+Ill	Hietaniemii	hˈie.tɑ#nˌie.mi>i
Hihnala+N+Prop+Sem/Sur+Sg+Ill	Hihnalai	hˈih.nɑ.lɑ>i
Hiipakka+N+Prop+Sem/Sur+Sg+Com	Hiipakkain	hˈijː.pɑk.kɑ>in
Hiironen+N+Prop+Sem/Sur+Pl+Nom	Hiirosat	hˈijː.ro>.sɑh
Hiivala+N+Prop+Sem/Sur+Ess	Hiivalan	hˈijː.vɑ.lɑ>n
Hiivala+N+Prop+Sem/Sur+Sg+Gen	Hiivala	hˈijː.vɑ.lɑ>
Hilkka+N+Prop+Sem/Fem+Attr	Hilkka	hˈilk.kɑ>
Hilkka+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Hilkkaš	hˈilk.kɑ>ʃ
Hilpinen+N+Prop+Sem/Sur+Ess	Hilpinenin	hˈilː.pi>.ne.nin
Hilpinen+N+Prop+Sem/Sur+Sg+Acc	Hilpinen	hˈilː.pi>.nen
Hiltunen+N+Prop+Sem/Sur+Pl+Nom	Hiltusat	hˈilː.tu>.sɑh
Himanen+N+Prop+Sem/Sur+Sg+Ill	Himasii	hˈi.mɑ>.sij
Hinkula+N+Prop+Sem/Sur+Ess	Hinkulan	hˈiŋŋ.ku.lɑ>n
Hintikka+N+Prop+Sem/Sur+Pl+Acc	Hintikkaid	hˈinː.tik.kɑ>id
Hintikka+N+Prop+Sem/Sur+Sg+Loc	Hintikkas	hˈinː.tik.kɑ>s
Hintsala+N+Prop+Sg+Nom	Hintsala	hˈint.sɑ.lɑ>
Hippeläinen+N+Prop+Sem/Sur+Pl+Com	Hippeläineniiguin	hˈip.pe.læj>.ne.nij.gujn
Hippeläinen+N+Prop+Sem/Sur+Sg+Com	Hippeläineniin	hˈip.pe.læj>.ne.nijn
Hippeläinen+N+Prop+Sem/Sur+Pl+Nom	Hippeläisat	hˈip.pe.læj>.sɑh
Hippeläinen+N+Prop+Sem/Sur+Sg+Com	Hippeläisiin	hˈip.pe.læj>.sijn
Hirsikangas+N+Prop+Ess	Hirsikangasin	hˈirː.si#kˌɑŋ.ŋɑ.s>in
Hirsikangas+N+Prop+Sg+Com	Hirsikangasiin	hˈirː.si#kˌɑŋ.ŋɑ.s>ijn
Hirvasvuopio+N+Prop+Ess	Hirvasvuopion	hˈirː.vɑs.vˌuo.pio>n
Hirvensalo+N+Prop+Sem/Sur+Sg+Nom	Hirvensalo	hˈirː.ven#sˌɑ.lo>
Hiukka+N+Prop+Sem/Sur+Pl+Loc	Hiukkain	hˈi.uk.kɑ>in
Hiukka+N+Prop+Sem/Sur+Pl+Nom	Hiukkat	hˈi.uk.kɑ>h
Hiukka+N+Prop+Sem/Sur+Sg+Nom	Hiukka	hˈi.uk.kɑ>
Hiukka+N+Prop+Sem/Sur+Sg+Ill	Hiukkai	hˈi.uk.kɑ>i
Hiukka+N+Prop+Sem/Sur+Sg+Loc	Hiukkas	hˈi.uk.kɑ>s
Hoikkala+N+Prop+Sem/Sur+Sg+Nom	Hoikkala	hˈojk.kɑ.lɑ>
Hoikkala+N+Prop+Sem/Sur+Sg+Ill	Hoikkalai	hˈojk.kɑ.lɑ>i
Hokka+N+Prop+Sem/Sur+Pl+Loc	Hokkain	hˈok.kɑ>in
Hokka+N+Prop+Sem/Sur+Pl+Nom	Hokkat	hˈok.kɑ>h
Hokkinen+N+Prop+Sem/Sur+Sg+Acc	Hokkinena	hˈok.ki>.ne.nɑ
Hokkinen+N+Prop+Sem/Sur+Ess	Hokkisin	hˈok.ki>.sin
Holopainen+N+Prop+Sem/Sur+Pl+Loc	Holopaineniin	hˈo.lo.pɑj>.ne.nijn
Holttinen+N+Prop+Sem/Sur+Pl+Nom	Holttinenat	hˈolt.ti>.ne.nɑh
Holttinen+N+Prop+Sem/Sur+Pl+Acc	Holttisiid	hˈolt.ti>.sijh
Holttinen+N+Prop+Sem/Sur+Sg+Loc	Holttisis	hˈolt.ti>.sis
Homanen+N+Prop+Sem/Sur+Sg+Nom	Homanen	hˈo.mɑ>.nen
Hongisto+N+Prop+Sem/Sur+Ess	Hongiston	hˈoŋ.ŋis.to>n
Hongisto+N+Prop+Sem/Sur+Sg+Ill	Hongistoi	hˈoŋ.ŋis.to>i
Honkala+N+Prop+Sem/Sur+Sg+Ill	Honkalai	hˈoŋŋ.kɑ.lɑ>i
Honkaranta+N+Prop+Sg+Loc	Honkarantas	hˈoŋŋ.kɑ#rˌɑnː.tɑ>s
Honkola+N+Prop+Sem/Sur+Sg+Ill	Honkolai	hˈoŋŋ.ko.lɑ>i
Hopiavuori+N+Prop+Sg+Loc	Hopiavuoris	hˈo.pi.ɑ#vˌuo.ri>s
Hoppula+N+Prop+Sem/Sur+Sg+Nom	Hoppula	hˈop.pu.lɑ>
Hoppula+N+Prop+Sem/Sur+Sg+Loc	Hoppulas	hˈop.pu.lɑ>s
Horttanainen+N+Prop+Sem/Sur+Pl+Nom	Horttanainenat	hˈort.tɑ.nɑj>.ne.nɑh
Horttanainen+N+Prop+Sem/Sur+Sg+Nom	Horttanainen	hˈort.tɑ.nɑj>.nen
Horttanainen+N+Prop+Sem/Sur+Ess	Horttanaisin	hˈort.tɑ.nɑj>.sin
Horttanainen+N+Prop+Sem/Sur+Sg+Acc	Horttanaisa	hˈort.tɑ.nɑj>.sɑ
Horttanainen+N+Prop+Sem/Sur+Sg+Gen	Horttanaisa	hˈort.tɑ.nɑj>.sɑ
Hostikka+N+Prop+Sem/Sur+Sg+Acc	Hostikka	hˈosː.tik.kɑ>
Hotakainen+N+Prop+Sem/Sur+Pl+Nom	Hotakainenat	hˈo.tɑ.kɑj>.ne.nɑh
Hotakainen+N+Prop+Sem/Sur+Pl+Loc	Hotakaineniin	hˈo.tɑ.kɑj>.ne.nijn
Hotakainen+N+Prop+Sem/Sur+Pl+Loc	Hotakaisiin	hˈo.tɑ.kɑj>.sijn
Hotokka+N+Prop+Sem/Sur+Sg+Loc	Hotokkas	hˈo.tok.kɑ>s
Hourula+N+Prop+Sem/Sur+Ess	Hourulan	hˈou.ru.lɑ>n
Hourula+N+Prop+Sem/Sur+Pl+Nom	Hourulat	hˈou.ru.lɑ>h
Hourula+N+Prop+Sem/Sur+Sg+Loc	Hourulas	hˈou.ru.lɑ>s
Huhdanmäki+N+Prop+Ess	Huhdanmäkn	hˈuh.dɑn#mæk>n
Huhmarniemi+N+Prop+Sem/Sur+Pl+Nom	Huhmarniemit	hˈuh.mɑr#nˌie.mi>h
Huhmarniemi+N+Prop+Sem/Sur+Sg+Gen	Huhmarniemi	hˈuh.mɑr#nˌie.mi>
Huhmarniemi+N+Prop+Sem/Sur+Sg+Loc	Huhmarniemis	hˈuh.mɑr#nˌie.mi>s
Huiskonen+N+Prop+Sem/Sur+Ess	Huiskonenin	hˈujː.sko>.ne.nin
Huiskonen+N+Prop+Sem/Sur+Sg+Acc	Huiskosa	hˈujː.sko>.sɑ
Huittinen+N+Prop+Sg+Gen+Allegro	Huittinen	hˈujt.ti>.nen
Hujala+N+Prop+Sem/Sur+Pl+Com	Hujalaiguin	hˈu.jɑ.lɑ>i.gujn
Hujanen+N+Prop+Sem/Sur+Pl+Nom	Hujanenat	hˈu.jɑ>.ne.nɑh
Hujanen+N+Prop+Sem/Sur+Sg+Gen	Hujanena	hˈu.jɑ>.ne.nɑ
Hukkanen+N+Prop+Sem/Sur+Ess	Hukkasin	hˈuk.kɑ>.sin
Hulkkonen+N+Prop+Sem/Sur+Pl+Com	Hulkkoneniiguin	hˈulk.ko>.ne.nij.gujn
Hulkkonen+N+Prop+Sem/Sur+Ess	Hulkkosin	hˈulk.ko>.sin
Hulkkonen+N+Prop+Sem/Sur+Sg+Gen	Hulkkosa	hˈulk.ko>.sɑ
Huomo+N+Prop+Sem/Sur+Sg+Nom	Huomo	hˈŭo.mo>
Huopalainen+N+Prop+Sem/Sur+Pl+Gen	Huopalaisiid	hˈuo.pɑ.lɑj>.sijh
Huovilainen+N+Prop+Sem/Sur+Ess	Huovilaisin	hˈuo.vi.lɑj>.sin
Huovilainen+N+Prop+Sem/Sur+Pl+Com	Huovilaisiiguin	hˈuo.vi.lɑj>.sij.gujn
Huppunen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Huppunen	hˈup.pu>.nen
Huppunen+N+Prop+Sem/Sur+Sg+Acc	Huppunena	hˈup.pu>.ne.nɑ
Huppunen+N+Prop+Sem/Sur+Sg+Loc	Huppusis	hˈup.pu>.sis
Hurmalainen+N+Prop+Sem/Sur+Sg+Nom	Hurmalainen	hˈur.mɑ.lɑj>.nen
Hurskainen+N+Prop+Sem/Sur+Ess	Hurskainenin	hˈur.skɑj>.ne.nin
Huttula+N+Prop+Ess	Huttulan	hˈut.tu.lɑ>n
Huttula+N+Prop+Sg+Com	Huttulain	hˈut.tu.lɑ>in
Huttunen+N+Prop+Sem/Sur+Pl+Nom	Huttunenat	hˈut.tu>.ne.nɑh
Huttunen+N+Prop+Sem/Sur+Sg+Acc	Huttusa	hˈut.tu>.sɑ
Huuhtanen+N+Prop+Sem/Sur+Sg+Loc	Huuhtasis	hˈuːh.tɑ>.sis
Huumonen+N+Prop+Sem/Sur+Ess	Huumonenin	hˈuː.mo>.ne.nin
Huumonen+N+Prop+Sem/Sur+Pl+Com	Huumosiiguin	hˈuː.mo>.sij.gujn
Huvila+N+Prop+Sg+Com	Huvilain	hˈu.vi.lɑ>in
Hynninen+N+Prop+Sem/Sur+Pl+Com	Hynnineniiguin	hˈyn.ni>.ne.nij.gujn
Hynninen+N+Prop+Sem/Sur+Sg+Com	Hynnineniin	hˈyn.ni>.ne.nijn
Hynynen+N+Prop+Sem/Sur+Ess	Hynynenin	hˈy.ny>.ne.nin
Hynynen+N+Prop+Sem/Sur+Sg+Acc	Hynysa	hˈy.ny>.sɑ
Hynönen+N+Prop+Sem/Sur+Pl+Loc	Hynösiin	hˈy.nø>.sijn
